symbol,method,left_probe_id,right_probe_id,overlap_start,overlap_end,left_overlap_bars,right_overlap_bars,left_overlap_hash,right_overlap_hash,classification
SPY,sip,overlap-left-SPY-sip-rep2,overlap-right-SPY-sip-rep2,2024-06-10T04:00:00.000000+0000,2024-06-15T03:59:59.999999+0000,927,927,2b395ea22938311bf11ba72d0e79c4837f09d97084300638c415cd59546b79dd,2b395ea22938311bf11ba72d0e79c4837f09d97084300638c415cd59546b79dd,match
SPY,iex,overlap-left-SPY-iex-rep2,overlap-right-SPY-iex-rep2,2024-06-10T04:00:00.000000+0000,2024-06-15T03:59:59.999999+0000,396,396,a4c3545e2b158040cdbd8d1211af792e91bcaa8544970d702f9223556c5be43a,a4c3545e2b158040cdbd8d1211af792e91bcaa8544970d702f9223556c5be43a,match
