symbol,method,left_probe_id,right_probe_id,overlap_start,overlap_end,left_overlap_bars,right_overlap_bars,left_overlap_hash,right_overlap_hash,classification
SPY,convenience_every_five_minutes,overlap-left-SPY-convenience_every_five_minutes-rep2,overlap-right-SPY-convenience_every_five_minutes-rep2,2024-06-10T04:00:00.000000+0000,2024-06-15T03:59:59.999999+0000,0,0,,,not_comparable
SPY,raw_price_history_five_minutes,overlap-left-SPY-raw_price_history_five_minutes-rep2,overlap-right-SPY-raw_price_history_five_minutes-rep2,2024-06-10T04:00:00.000000+0000,2024-06-15T03:59:59.999999+0000,0,0,,,not_comparable
