elapsed_seconds,error,full_snapshot_sha256,http_status,max_pages_reached,page_count,pagination_complete,pit_date,provider,raw_sha256,repeat_match,repeat_sha256,requested_at,row_count,state
145.589044,,50baa713e82d2513652115a348fdf3669df89deea870d04441f11ea26e7254fe,200,False,13,True,2025-12-31,massive,50baa713e82d2513652115a348fdf3669df89deea870d04441f11ea26e7254fe,True,50baa713e82d2513652115a348fdf3669df89deea870d04441f11ea26e7254fe,2026-08-08T04:25:01.547409+00:00,12126,active
266.736862,,f625b4b6f8ee05d20da89d27da0d7b0b750aef2af4849de60ee05a59aff3500f,200,False,23,True,2025-12-31,massive,f625b4b6f8ee05d20da89d27da0d7b0b750aef2af4849de60ee05a59aff3500f,,,2026-08-08T04:27:39.306711+00:00,22708,inactive
266.694112,,f625b4b6f8ee05d20da89d27da0d7b0b750aef2af4849de60ee05a59aff3500f,200,False,23,True,2025-12-31,massive,f625b4b6f8ee05d20da89d27da0d7b0b750aef2af4849de60ee05a59aff3500f,True,f625b4b6f8ee05d20da89d27da0d7b0b750aef2af4849de60ee05a59aff3500f,2026-08-08T04:32:18.256363+00:00,22708,inactive
145.620421,,0666c2dc776cf3b85a25a23e45bf0f6f1059ba8e53b61f010d56d81d65e5bf86,200,False,13,True,2026-01-31,massive,0666c2dc776cf3b85a25a23e45bf0f6f1059ba8e53b61f010d56d81d65e5bf86,,,2026-08-08T04:36:57.140088+00:00,12227,active
145.532929,,0666c2dc776cf3b85a25a23e45bf0f6f1059ba8e53b61f010d56d81d65e5bf86,200,False,13,True,2026-01-31,massive,0666c2dc776cf3b85a25a23e45bf0f6f1059ba8e53b61f010d56d81d65e5bf86,True,0666c2dc776cf3b85a25a23e45bf0f6f1059ba8e53b61f010d56d81d65e5bf86,2026-08-08T04:39:34.920977+00:00,12227,active
266.762057,,496b3b8acca52f67cf548bfab2bea1b549a37ba308e18c8ebef3f06a3421a1d7,200,False,23,True,2026-01-31,massive,496b3b8acca52f67cf548bfab2bea1b549a37ba308e18c8ebef3f06a3421a1d7,,,2026-08-08T04:42:12.608392+00:00,22776,inactive
267.372921,,496b3b8acca52f67cf548bfab2bea1b549a37ba308e18c8ebef3f06a3421a1d7,200,False,23,True,2026-01-31,massive,496b3b8acca52f67cf548bfab2bea1b549a37ba308e18c8ebef3f06a3421a1d7,True,496b3b8acca52f67cf548bfab2bea1b549a37ba308e18c8ebef3f06a3421a1d7,2026-08-08T04:46:51.581366+00:00,22776,inactive
145.698858,,6b4544947127065e5ac599350af759f8cffb81ef2b76c6b960b9640784c09546,200,False,13,True,2026-02-28,massive,6b4544947127065e5ac599350af759f8cffb81ef2b76c6b960b9640784c09546,,,2026-08-08T04:51:31.157586+00:00,12346,active
145.689565,,6b4544947127065e5ac599350af759f8cffb81ef2b76c6b960b9640784c09546,200,False,13,True,2026-02-28,massive,6b4544947127065e5ac599350af759f8cffb81ef2b76c6b960b9640784c09546,True,6b4544947127065e5ac599350af759f8cffb81ef2b76c6b960b9640784c09546,2026-08-08T04:54:09.016280+00:00,12346,active
266.761691,,2ce5a7134bc1a3db909bc82520a6ea0b9cbe0c0089c22ad9e3b652b0d50f5ef8,200,False,23,True,2026-02-28,massive,2ce5a7134bc1a3db909bc82520a6ea0b9cbe0c0089c22ad9e3b652b0d50f5ef8,,,2026-08-08T04:56:46.860599+00:00,22859,inactive
