family,provider,symbol,as_of_date,endpoint_pattern,http_status,error_classification,retry_count,request_timestamp_utc
daily_market_data,massive/polygon,,,v2/aggs/ticker/{ticker}/range/1/day/{start}/{end},,unsupported_capability,0,2026-08-12T20:50:17.286864Z
daily_market_data,alpaca,AAPL,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:17.539683Z
daily_market_data,alpaca,GOOGL,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:17.791710Z
daily_market_data,alpaca,FDX,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:18.063241Z
daily_market_data,alpaca,FB,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:18.323318Z
daily_market_data,alpaca,PYPL,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:18.576140Z
daily_market_data,alpaca,YHOO,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:18.829655Z
daily_market_data,alpaca,SPY,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:19.086574Z
daily_market_data,alpaca,PFF,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:19.347446Z
daily_market_data,alpaca,IGR,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:19.602410Z
daily_market_data,alpaca,IPOD,2020-09-30,/v2/stocks/{symbol}/bars,,unknown,0,2026-08-12T20:50:19.867902Z
daily_market_data,alpaca,TWX,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:20.118670Z
daily_market_data,alpaca,SIRI,2016-03-31,/v2/stocks/{symbol}/bars,200,none,0,2026-08-12T20:50:20.367350Z
security_master_and_corporate_actions,massive,,2016-03-31,/v3/reference/tickers,200,response,0,2026-08-12T20:50:45.026755Z
security_master_and_corporate_actions,massive,,2020-09-30,/v3/reference/tickers,200,response,0,2026-08-12T20:51:21.579436Z
issuer_fundamentals_and_shares,sec_edgar,AAPL,,submissions/CIK{cik}.json,200,none,0,2026-08-12T20:51:22.067190Z
issuer_fundamentals_and_shares,sec_edgar,GOOGL,,submissions/CIK{cik}.json,,unknown,0,2026-08-12T20:51:22.067222Z
issuer_fundamentals_and_shares,sec_edgar,FDX,,submissions/CIK{cik}.json,200,none,0,2026-08-12T20:51:22.443771Z
issuer_fundamentals_and_shares,sec_edgar,FB,,submissions/CIK{cik}.json,200,none,0,2026-08-12T20:51:22.871284Z
earnings_event_timing,massive,,,historical earnings schedule,,unsupported_capability,0,2026-08-12T20:51:22.874332Z
earnings_event_timing,yahoo_earnings_calendar,,,calendar/earnings,,unsupported_capability,0,2026-08-12T20:51:22.874351Z
earnings_event_timing,sec_edgar,,,filing acceptance timestamps,,unsupported_capability,0,2026-08-12T20:51:22.874356Z
