rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,cohort
candidate,development,13,8753,sufficient_sample,3.8618411975537064,3.340784528159779,10.976852939091629,0.6453787272934993,3.8618411975537064,0.6453787272934993,3.1603941008702465,3.654325031324839,0.6357820175939678,3.343827026992352,0.6242431166457215,stock
baseline,development,13,7669,sufficient_sample,3.553585285926109,3.134276565272476,10.774647973827944,0.635154518190116,3.553585285926109,0.635154518190116,2.9735308696290774,3.3466850156245695,0.6255052810014343,3.0371085513329725,0.6132481418698656,stock
candidate,development,13,3774,sufficient_sample,3.009101005317778,3.6207203240869346,6.93427094694081,0.710386857445681,3.009101005317778,0.710386857445681,3.073872575489092,2.803288615696775,0.7027027027027027,2.4953399030468777,0.6846846846846847,etf
baseline,development,13,3409,sufficient_sample,2.804753768265888,3.377241894457339,6.651283589443474,0.7066588442358462,2.804753768265888,0.7066588442358462,2.831487383828211,2.599349664832801,0.6981519507186859,2.29201185420971,0.6787914344382517,etf
candidate,validation,13,4690,sufficient_sample,3.9659686658557103,4.218054915632463,12.959851216388184,0.6520255863539446,3.9659686658557103,0.6520255863539446,3.110008285450142,3.7582444527371286,0.6443496801705757,3.4474351563003305,0.6336886993603411,stock
baseline,validation,13,4127,sufficient_sample,3.9776909044310296,4.060371514797145,12.816831657386688,0.6445359825539132,3.9776909044310296,0.6445359825539132,2.6906345919235095,3.769943270256354,0.6360552459413618,3.4590989298453496,0.6251514417252242,stock
candidate,validation,13,1981,sufficient_sample,2.4591660045172326,3.817350808718767,9.455679519700652,0.7026754164563351,2.4591660045172326,0.7026754164563351,2.8787739544529396,2.2544523861265993,0.696113074204947,1.9481477202054363,0.6814740030287734,etf
baseline,validation,13,1763,sufficient_sample,2.047264800134623,3.652604192927389,9.249947934068892,0.6971072036301759,2.047264800134623,0.6971072036301759,2.336199039787201,1.843374161173326,0.690300623936472,1.5383008859194982,0.6766874645490641,etf
candidate,holdout,13,5360,sufficient_sample,4.1440117198838164,3.1138450122443873,13.717372763257462,0.5996268656716418,4.1440117198838164,0.5996268656716418,3.8202935213443525,3.9359317763875565,0.5930970149253731,3.624590215046501,0.5819029850746269,stock
baseline,holdout,13,4836,sufficient_sample,4.258637837632968,3.1138450122443873,13.577441757663042,0.6002894954507858,4.258637837632968,0.6002894954507858,3.878553388585876,4.050328870924423,0.5934656741108354,3.7386446314602457,0.5822994210090985,stock
candidate,holdout,13,2395,sufficient_sample,2.8504474448079247,2.729928453234476,8.30489214131434,0.644258872651357,2.8504474448079247,0.644258872651357,3.745353654915381,2.64495204531781,0.6350730688935282,2.3374776321156268,0.6183716075156577,etf
baseline,holdout,13,2168,sufficient_sample,2.95771807949345,2.7669729894882478,7.982567362205832,0.6499077490774908,2.95771807949345,0.6499077490774908,3.8692435915593353,2.7520083530609067,0.6402214022140221,2.444213251166811,0.6231549815498155,etf
candidate,development,26,8398,sufficient_sample,7.7918557082186455,7.153339380548518,15.181360929426738,0.7118361514646344,7.7918557082186455,0.7118361514646344,6.503261109089076,7.576487365145294,0.7073112645868064,7.254240467778664,0.7006430102405334,stock
baseline,development,26,7346,sufficient_sample,7.403737949004784,6.628405709204078,15.31907359292983,0.7035121154369725,7.403737949004784,0.7035121154369725,6.11254782393863,7.189145065989802,0.6991560032670842,6.868058457987315,0.6919411924857065,stock
candidate,development,26,3619,sufficient_sample,6.303692364983605,6.837101376848875,9.053676078880224,0.7913788339320255,6.303692364983605,0.7913788339320255,6.381662449556771,6.09129737524339,0.7864050842774247,5.773499385607138,0.7775628626692457,etf
baseline,development,26,3253,sufficient_sample,5.843899777939417,6.474091153933803,8.66724910783089,0.7866584691054411,5.843899777939417,0.7866584691054411,5.822718298170936,5.632423454706783,0.7817399323701198,5.31600002842352,0.7725176759913925,etf
candidate,validation,26,4401,sufficient_sample,8.214021198179791,6.8527911500126715,18.507029580855168,0.6773460577141559,8.214021198179791,0.6773460577141559,6.423308725315796,7.997809367614008,0.6730288570779368,7.674300394198855,0.6648488979777323,stock
baseline,validation,26,3858,sufficient_sample,7.941658446899786,6.214251414878092,18.633037039520275,0.6640746500777605,7.941658446899786,0.6640746500777605,5.679735967113913,7.7259907976552435,0.65966822187662,7.40329606063097,0.6508553654743391,stock
candidate,validation,26,1857,sufficient_sample,4.756970896228914,6.117818623260529,11.494931103560454,0.7038233710285406,4.756970896228914,0.7038233710285406,5.7407359364413315,4.547666259073623,0.7000538502961766,4.234492238392374,0.686052773290253,etf
baseline,validation,26,1652,sufficient_sample,4.342075345897682,5.881626433145137,10.899057596629797,0.6930992736077481,4.342075345897682,0.6930992736077481,5.162003072539507,4.133599670880915,0.6900726392251816,3.8216659925515697,0.6767554479418886,etf
candidate,holdout,26,5042,sufficient_sample,7.857679387614392,6.006255664007565,20.451095038848784,0.6433954779849266,7.857679387614392,0.6433954779849266,6.822751753128743,7.64217952869809,0.6372471241570805,7.319735849521563,0.6307021023403412,stock
baseline,holdout,26,4548,sufficient_sample,8.081189386964663,6.167360179509574,20.14892810014941,0.6508355321020228,8.081189386964663,0.6508355321020228,6.809813484116131,7.865242954623087,0.644678979771328,7.542131085782806,0.6376429199648197,stock
candidate,holdout,26,2245,sufficient_sample,4.957619918703669,4.933158609132904,11.462731999619532,0.6908685968819599,4.957619918703669,0.6908685968819599,6.593967919034736,4.747914384400576,0.6824053452115812,4.434140517612889,0.6681514476614699,etf
