rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,ticker,cohort
baseline,development,13,19,insufficient_sample,5.360771666894993,5.345664678461848,11.640736515681542,0.631578947368421,5.360771666894993,0.631578947368421,2.571523552177638,5.150260634593518,0.631578947368421,4.835281533893036,0.631578947368421,AAPL,stock
baseline,holdout,13,14,insufficient_sample,2.640427962864968,2.7709735775233724,10.473565752966152,0.7857142857142857,2.640427962864968,0.7857142857142857,2.2470027568839988,2.4353521827193894,0.7857142857142857,2.128505628885598,0.7857142857142857,AAPL,stock
baseline,validation,13,13,insufficient_sample,11.184635026859546,9.833458484291114,20.696567582759055,0.8461538461538461,11.184635026859546,0.8461538461538461,3.5719862904437516,10.962487903928771,0.8461538461538461,10.630098193807894,0.8461538461538461,AAPL,stock
candidate,development,13,22,sufficient_sample,5.234339882859978,7.857682996842041,14.77964671229107,0.5909090909090909,5.234339882859978,0.5909090909090909,1.9628349753744467,5.024081461515615,0.5909090909090909,4.709480332322035,0.5909090909090909,AAPL,stock
candidate,holdout,13,16,insufficient_sample,4.110162163334378,2.41631766245205,9.417058594735686,0.75,4.110162163334378,0.75,4.133413256169178,3.902149851319733,0.75,3.5909094842155094,0.75,AAPL,stock
candidate,validation,13,13,insufficient_sample,9.300363798310213,9.833458484291114,19.816200497016208,0.7692307692307693,9.300363798310213,0.7692307692307693,3.5092988432951175,9.081981453058857,0.7692307692307693,8.75522482674758,0.7692307692307693,AAPL,stock
baseline,development,13,22,sufficient_sample,8.369264366381474,9.650733201209981,15.143342406614854,0.7727272727272727,8.369264366381474,0.7727272727272727,2.8095825322252734,8.152742359655448,0.7727272727272727,7.828769282259882,0.7727272727272727,AMZN,stock
baseline,holdout,13,13,insufficient_sample,5.045114003986097,4.974798169246308,12.49921939930602,0.7692307692307693,5.045114003986097,0.7692307692307693,4.792051482818906,4.8352336563258,0.7692307692307693,4.5211982234176045,0.7692307692307693,AMZN,stock
baseline,validation,13,12,insufficient_sample,9.641041567323573,11.547630817196852,16.895797889947282,0.75,9.641041567323573,0.75,1.5509700306020255,9.421978547209052,0.75,9.094203454768353,0.75,AMZN,stock
candidate,development,13,23,sufficient_sample,7.360818220491855,7.833718218464436,14.19068185535166,0.782608695652174,7.360818220491855,0.782608695652174,3.178547245548618,7.1463110911802,0.782608695652174,6.825352792958239,0.782608695652174,AMZN,stock
candidate,holdout,13,15,insufficient_sample,0.7116908264184668,5.429467739275373,17.097052027269037,0.6,0.7116908264184668,0.6,3.131120985561476,0.5104686669251325,0.6,0.2093881290298605,0.6,AMZN,stock
candidate,validation,13,13,insufficient_sample,12.49965373828819,12.255141579731731,19.2825763276763,0.7692307692307693,12.49965373828819,0.7692307692307693,5.70097872977351,12.274879205344572,0.7692307692307693,11.938558208421425,0.7692307692307693,AMZN,stock
baseline,development,13,21,sufficient_sample,3.155388839143888,2.2916216239852405,11.751539177302725,0.5714285714285714,3.155388839143888,0.5714285714285714,3.0340468980315203,2.9492841661386175,0.5714285714285714,2.6408981217416843,0.5714285714285714,BA,stock
baseline,holdout,13,11,insufficient_sample,1.7310796882410613,-2.7004253820180013,15.659135404591563,0.2727272727272727,1.7310796882410613,0.2727272727272727,5.356173215942805,1.5278207877650665,0.2727272727272727,1.2236927571276512,0.2727272727272727,BA,stock
baseline,validation,13,10,insufficient_sample,9.635497754427389,9.783001504020827,15.01997594190598,0.8,9.635497754427389,0.8,3.9438459288206262,9.416445810862113,0.8,9.088687291811809,0.8,BA,stock
candidate,development,13,23,sufficient_sample,4.828401327710516,2.8785774938653974,13.258582827907896,0.5652173913043478,4.828401327710516,0.5652173913043478,3.115609961970056,4.618953972410408,0.5652173913043478,4.305566408370327,0.5652173913043478,BA,stock
