rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,score_bucket
candidate,development,13,4687,sufficient_sample,3.4357575022085816,3.1718745302920848,10.020317412756704,0.6477490932366119,3.4357575022085816,0.6477490932366119,3.0052352974084773,3.22909265205433,0.6398549178579048,2.9198684373596717,0.6247066353744399,40-59
candidate,development,13,7021,sufficient_sample,3.81293518653144,3.6555676499583134,9.97188697798263,0.674405355362484,3.81293518653144,0.674405355362484,3.2588845426760797,3.60551673461031,0.6647201253382709,3.295164936224561,0.6527560176613018,60-79
candidate,development,13,819,sufficient_sample,2.790024223159976,3.3225091724390587,9.132129299017997,0.6825396825396826,2.790024223159976,0.6825396825396826,2.8053216748849947,2.5846495493874393,0.6727716727716728,2.2773557731691647,0.6556776556776557,80-100
candidate,validation,13,2945,sufficient_sample,3.3921419329088827,4.106588414694778,11.982895883026451,0.6709677419354839,3.3921419329088827,0.6709677419354839,2.7605022698351642,3.1855642267492357,0.6651952461799661,2.876470402071443,0.6533106960950764,40-59
candidate,validation,13,3449,sufficient_sample,3.6179166910044813,4.032110190882476,12.093196553177632,0.6651203247318063,3.6179166910044813,0.6651203247318063,3.1547722661118662,3.4108878864270618,0.6570020295737895,3.1011191015231736,0.6456944041751232,60-79
candidate,validation,13,277,sufficient_sample,3.624361870472201,2.931503865933016,12.113833520271605,0.6498194945848376,3.624361870472201,0.6498194945848376,4.614806252881064,3.417320188413326,0.6353790613718412,3.107532135457388,0.6173285198555957,80-100
candidate,holdout,13,3597,sufficient_sample,4.188261070821728,3.133237313595849,12.534409396533125,0.6238532110091743,4.188261070821728,0.6238532110091743,3.6966842061926326,3.9800927170338833,0.6163469557964971,3.668618870967266,0.6024464831804281,40-59
candidate,holdout,13,3775,sufficient_sample,3.3940924603357643,2.848662667788915,12.15222059549997,0.6066225165562914,3.3940924603357643,0.6066225165562914,3.8654067559769634,3.1875108570184216,0.5994701986754967,2.8784112011819802,0.5872847682119205,60-79
candidate,holdout,13,383,sufficient_sample,3.030940833887648,2.016082654936935,11.713749297190317,0.5822454308093995,3.030940833887648,0.5822454308093995,4.06791562517006,2.825084808245526,0.5744125326370757,2.5170708047909622,0.5639686684073107,80-100
candidate,development,26,4449,sufficient_sample,7.120492350694292,6.6347719281084405,14.103352926758712,0.7174645987862441,7.120492350694292,0.7174645987862441,6.460370535918201,6.9064653929506585,0.7122948977298269,6.586225555927748,0.706001348617667,40-59
candidate,development,26,6750,sufficient_sample,7.4064939075396365,7.144929562477776,13.51914651538934,0.7408888888888889,7.4064939075396365,0.7408888888888889,6.425866567149546,7.191895518113995,0.7364444444444445,6.8708006710930665,0.7282962962962963,60-79
candidate,development,26,818,sufficient_sample,8.0393185358978,7.400743887745431,12.036792725100355,0.793398533007335,8.0393185358978,0.793398533007335,6.837207037306235,7.823455761600313,0.7897310513447433,7.50046906689084,0.7836185819070904,80-100
candidate,validation,26,2816,sufficient_sample,7.4611087292322305,6.836739901115363,16.379506718126287,0.6999289772727273,7.4611087292322305,0.6999289772727273,6.243611709249158,7.246401219283727,0.6963778409090909,6.925143099660013,0.6860795454545454,40-59
candidate,validation,26,3171,sufficient_sample,6.7074974600082955,6.072868558631828,17.05744670581641,0.6672973825291706,6.7074974600082955,0.6672973825291706,5.965057792572976,6.494295666881418,0.6622516556291391,6.175290490132953,0.652160201829076,60-79
candidate,validation,26,271,sufficient_sample,9.976552104361929,9.249464090408654,17.937413764070122,0.7416974169741697,9.976552104361929,0.7416974169741697,8.975348710670975,9.756818733524057,0.7416974169741697,9.428040622544675,0.7380073800738007,80-100
candidate,holdout,26,3443,sufficient_sample,7.673366844966917,6.528298479650041,17.653425367424425,0.6903862910252686,7.673366844966917,0.6903862910252686,6.743483772465846,7.4582352428790815,0.6822538483880337,7.136342571425945,0.6744118501306999,40-59
candidate,holdout,26,3477,sufficient_sample,6.484697373558414,4.679996456562585,18.773778586596382,0.634742594190394,6.484697373558414,0.634742594190394,6.824651646527736,6.2719407354494185,0.6292781133160771,5.953601626059382,0.6197871728501582,60-79
candidate,holdout,26,367,sufficient_sample,4.854445162827797,3.2947096813920274,17.640757245849322,0.5749318801089919,4.854445162827797,0.5749318801089919,6.148893498450299,4.644945771893086,0.5667574931880109,4.3314803490481175,0.553133514986376,80-100
