rule,split,horizon_weeks,slippage_bps,count,mean_net_return_pct,median_net_return_pct,std_net_return_pct,win_rate
candidate,development,13,0.0,955,3.3426076842345114,3.324719186233538,10.321930241963264,0.6659685863874345
candidate,validation,13,0.0,530,3.483101740919478,4.20595648356068,13.032800831327064,0.6886792452830188
candidate,holdout,13,0.0,642,3.381976621845137,2.7154295771256165,12.548347166314029,0.6214953271028038
baseline,development,13,0.0,877,3.437104992476087,3.2363119729318157,10.003756014630255,0.6624857468643102
baseline,validation,13,0.0,493,3.5427920216913047,4.175407001381903,12.554766940328811,0.6896551724137931
baseline,holdout,13,0.0,587,3.737000426687178,2.8635471430155546,12.593726518225377,0.637137989778535
candidate,development,13,10.0,955,3.136128947602686,3.1182761908564505,10.301307004716586,0.6565445026178011
candidate,validation,13,10.0,530,3.276342296881688,3.997752774302832,13.00676126922651,0.6830188679245283
candidate,holdout,13,10.0,642,3.175419225997305,2.510203943604894,12.523275543604113,0.6152647975077882
baseline,development,13,10.0,877,3.230437450033589,3.0300456153435684,9.983768490125502,0.6556442417331813
baseline,validation,13,10.0,493,3.3359133163532717,3.9672643300504795,12.529682490897587,0.6855983772819473
baseline,holdout,13,10.0,587,3.529733692567934,2.658025570302236,12.568564227479674,0.6286201022146508
candidate,development,13,25.0,955,2.8271832070064207,2.8093839284468514,10.270449293125543,0.6450261780104712
candidate,validation,13,25.0,530,2.9669765452041803,3.686226027283579,12.967799330921443,0.6792452830188679
candidate,holdout,13,25.0,642,2.8663557908135004,2.2031331702571766,12.485761893664085,0.602803738317757
baseline,development,13,25.0,877,2.9212092069774642,2.7214176488773223,9.953861969669509,0.6316989737742303
baseline,validation,13,25.0,493,3.026369118839988,3.655828911599457,12.49214964885585,0.6795131845841785
baseline,holdout,13,25.0,587,3.219608903362065,2.3505119951700904,12.530914914643207,0.6149914821124361
candidate,development,26,0.0,922,7.037325679333892,7.254075102375257,14.283450340519085,0.720173535791757
candidate,validation,26,0.0,500,7.259993342705591,7.318499887528351,17.537863186477825,0.692
candidate,holdout,26,0.0,609,7.287113033678942,6.214710709117943,19.2656520409445,0.6617405582922824
baseline,development,26,0.0,851,6.965125409528327,6.575884008431898,14.113763740280442,0.7203290246768508
baseline,validation,26,0.0,463,6.806055617010571,6.618643402098789,17.02489123208668,0.6760259179265659
baseline,holdout,26,0.0,555,6.948830204435609,6.151947297352489,18.66281889480964,0.6522522522522523
candidate,development,26,10.0,922,6.823464888765805,7.039781246026877,14.254911978200367,0.7147505422993492
candidate,validation,26,10.0,500,7.045687661701195,7.104077310330514,17.50282250079056,0.69
candidate,holdout,26,10.0,609,7.072753167477798,6.0024935049039385,19.227159229673884,0.6568144499178982
baseline,development,26,10.0,851,6.751408875243567,6.362945179244228,14.085564412128035,0.7156286721504113
baseline,validation,26,10.0,463,6.5926569044890835,6.4056191395571505,16.990875465389205,0.6760259179265659
baseline,holdout,26,10.0,555,6.735146228003181,5.939855494560575,18.62553054536946,0.6468468468468469
candidate,development,26,25.0,922,6.5034736809332365,6.719142059470662,14.212211186701037,0.7093275488069414
candidate,validation,26,25.0,500,6.725030782392854,6.783245523999559,17.450392547143775,0.674
candidate,holdout,26,25.0,609,6.752015213062101,5.684961528523824,19.169564000840037,0.6518883415435139
baseline,development,26,25.0,851,6.431633512223958,6.044333464748952,14.043370903670565,0.7062279670975323
baseline,validation,26,25.0,463,6.2733570852549185,6.086879594607031,16.93997905636555,0.6695464362850972
baseline,holdout,26,25.0,555,6.4154195799745946,5.622511151231047,18.569737503813084,0.6414414414414414
