datetime,high,low,close,volume,open
2007-01-03 00:00:00+00:00,34.415757232961475,33.160772156986205,33.358184814453125,12719600,34.20424059762321
2007-01-04 00:00:00+00:00,33.34878378693436,32.71424102213343,33.03386306762695,10825300,33.32528432812613
2007-01-05 00:00:00+00:00,33.42868475925784,32.95865265199862,33.1607666015625,9618000,33.03385592440869
2007-01-08 00:00:00+00:00,33.63549363980621,32.902244761237846,33.58378982543945,9435100,33.40047760579736
2007-01-09 00:00:00+00:00,33.53208660165552,32.831739812071156,33.1983642578125,10500000,33.36287835336426
2007-01-10 00:00:00+00:00,33.04796896921931,32.39932570379239,32.624942779541016,11936700,32.78475203589739
2007-01-11 00:00:00+00:00,33.438091784764985,32.18780794652852,32.28651428222656,12407200,32.5826332893207
2007-01-12 00:00:00+00:00,33.193667876130796,32.47921708275682,33.06675720214844,9345000,32.47921708275682
2007-01-16 00:00:00+00:00,33.2312831302814,32.54033864172312,32.74715042114258,8281700,32.93986539098881
2007-01-17 00:00:00+00:00,33.31117699016427,32.667231707255326,33.28767395019531,10545100,32.76593802021618
2007-01-18 00:00:00+00:00,33.7671034957039,32.91164523860395,33.33467483520508,10648300,33.29237366857509
2007-01-19 00:00:00+00:00,34.025616024617335,33.278266869626876,33.992713928222656,9983800,33.52738325462369
2007-01-22 00:00:00+00:00,34.12433587255778,33.34878205103263,33.47569274902344,11969100,34.082034697268156
2007-01-23 00:00:00+00:00,34.42984539645515,33.65429184778722,34.10552215576172,9268800,33.65899317207458
2007-01-24 00:00:00+00:00,34.42984405303121,33.70129301748522,34.23712921142578,7061700,34.072618728384306
2007-01-25 00:00:00+00:00,34.208940757015625,33.50389250205303,33.61669921875,8441500,34.077332323192344
2007-01-26 00:00:00+00:00,34.016221357078834,33.480385097392535,33.60729217529297,7266600,33.90811240578142
2007-01-29 00:00:00+00:00,33.983314120145636,33.485077775029545,33.62138748168945,6323100,33.61198841980853
2007-01-30 00:00:00+00:00,34.345252990722656,33.77181312827515,34.345252990722656,6398000,33.81881563144635
2007-01-31 00:00:00+00:00,34.51916375236645,33.978626039027496,34.255943298339844,9757800,34.307647123984665
2007-02-01 00:00:00+00:00,35.23361449496872,34.35935428597803,35.003299713134766,10956200,34.42985983561816
2007-02-02 00:00:00+00:00,35.07378593019928,34.45334389026229,34.80116653442383,7377300,34.68835986881508
2007-02-05 00:00:00+00:00,34.91868004766206,34.52855260089398,34.67896270751953,8431500,34.80587336420785
2007-02-06 00:00:00+00:00,34.86698049013531,34.284141704128395,34.48625564575195,8374800,34.85288010124115
2007-02-07 00:00:00+00:00,34.82467247182289,34.09612495414647,34.14312744140625,9573100,34.72126843427534
2007-02-08 00:00:00+00:00,34.744775821019154,33.88461612206016,34.66487121582031,10159500,34.05852930931122
2007-02-09 00:00:00+00:00,34.78236756595779,34.34053634393225,34.462745666503906,6502300,34.74946546981075
2007-02-12 00:00:00+00:00,34.39224040903225,33.79060002578116,33.992713928222656,12468000,34.35933831263757
2007-02-13 00:00:00+00:00,34.293532369992676,34.06321770698189,34.23242950439453,7909300,34.18542702423755
2007-02-14 00:00:00+00:00,34.57804761708808,33.98154688710318,34.1756477355957,7907900,34.388681904665034
2007-02-15 00:00:00+00:00,34.11409057848204,33.68802238052264,33.7827033996582,10225000,34.11409057848204
2007-02-16 00:00:00+00:00,33.82057951585018,33.47972204518769,33.5223274230957,9619000,33.617012060418396
2007-02-20 00:00:00+00:00,33.44657517386559,33.148323153797726,33.1956672668457,9347500,33.44657517386559
2007-02-21 00:00:00+00:00,33.323492470436186,32.760130661374525,33.11045837402344,13256400,33.1956727349584
