datetime,high,low,close,volume,open
2007-01-03 00:00:00+00:00,38.07273534459993,37.088990748361894,37.370059967041016,6134800,37.70612119205832
2007-01-04 00:00:00+00:00,37.443347622785474,36.86898900584803,37.27226257324219,4058900,37.42501774772269
2007-01-05 00:00:00+00:00,37.223401502394566,36.63071266481606,36.79568862915039,6267100,37.13174974278239
2007-01-08 00:00:00+00:00,37.00955565724357,36.5757311440229,36.838470458984375,3942900,36.716265747001664
2007-01-09 00:00:00+00:00,37.088971447476126,36.661256324188614,37.04008865356445,3928300,36.942325396601014
2007-01-10 00:00:00+00:00,36.89955992122408,36.569608003002465,36.856788635253906,6825100,36.77735524808345
2007-01-11 00:00:00+00:00,37.01566353845022,36.6001689570432,36.66127014160156,7440900,36.74681273232757
2007-01-12 00:00:00+00:00,36.60017419647685,36.17245885075717,36.502410888671875,6560800,36.45352806933883
2007-01-16 00:00:00+00:00,36.61849551381899,36.11134687086608,36.19689178466797,6842100,36.5818334079039
2007-01-17 00:00:00+00:00,37.07676403696864,36.203003594959,36.60627746582031,7255600,36.27021629524601
2007-01-18 00:00:00+00:00,37.03001522459806,36.600147243887584,36.78437805175781,7027500,36.600147243887584
2007-01-19 00:00:00+00:00,36.968597689873995,36.403627876317,36.45889663696289,5561400,36.9071866543833
2007-01-22 00:00:00+00:00,36.55714849691397,35.605299791366335,35.72197723388672,9881000,36.45889319200436
2007-01-23 00:00:00+00:00,36.57558059692383,35.72198467586451,36.57558059692383,8587300,35.88165104372551
2007-01-24 00:00:00+00:00,36.919443919550375,36.26236151055439,36.67994689941406,8014800,36.716793495815764
2007-01-25 00:00:00+00:00,36.91947049385148,36.46504052408541,36.61856460571289,7481400,36.753664204582805
2007-01-26 00:00:00+00:00,37.717783410040624,37.15281609144083,37.515132904052734,12450500,37.61952812234541
2007-01-29 00:00:00+00:00,38.25205688001279,37.502858687652704,37.889739990234375,9608800,37.6379606154793
2007-01-30 00:00:00+00:00,38.78633377784087,38.04941752962242,38.61438751220703,8941400,38.166097360667244
2007-01-31 00:00:00+00:00,39.51095776520138,38.6757886789038,39.34515380859375,9617800,38.77404400332656
2007-02-01 00:00:00+00:00,40.06978062643213,39.57850174851011,39.91011428833008,10272800,39.79343918584012
2007-02-02 00:00:00+00:00,40.143467853896205,39.63990918774483,40.06977462768555,5971000,39.91625058696645
2007-02-05 00:00:00+00:00,40.100475046794564,39.49251656717017,39.60305404663086,5253400,40.06976836937391
2007-02-06 00:00:00+00:00,39.88553637842431,39.49865755548097,39.56006622314453,4873100,39.60919503134779
2007-02-07 00:00:00+00:00,40.468939084311614,39.70131886148773,40.30927276611328,6546300,39.854842906052504
2007-02-08 00:00:00+00:00,40.43822918692535,39.83027533062554,40.30312728881836,4528600,40.27242529345509
2007-02-09 00:00:00+00:00,40.52421706201393,39.72589461344786,39.7934455871582,5576200,40.52421706201393
2007-02-12 00:00:00+00:00,40.02678924444598,39.47410174479321,39.67061233520508,4974700,39.76272769934421
2007-02-13 00:00:00+00:00,40.02678771626502,39.49252237280136,39.75044631958008,4965100,39.732019499310134
2007-02-14 00:00:00+00:00,40.8251116429195,40.02064254917889,40.62860107421875,7495500,40.19258871114436
2007-02-15 00:00:00+00:00,41.88136454343662,41.14445087937174,41.52519226074219,9566900,41.75854716115341
2007-02-16 00:00:00+00:00,41.78311408360198,41.32868411964753,41.5558967590332,4249900,41.629590003937885
2007-02-20 00:00:00+00:00,41.7585360098323,41.1505821650694,41.71554946899414,6964300,41.476052357869925
2007-02-21 00:00:00+00:00,41.979608482754834,41.34709026879141,41.88749313354492,7225300,41.506751876561886
2007-02-22 00:00:00+00:00,42.02260325683726,41.34709837221108,41.62343978881836,4989400,41.912065753157904
2007-02-23 00:00:00+00:00,41.54975473368699,41.18743550806258,41.304115295410156,3777200,41.457639358685356
2007-02-26 00:00:00+00:00,41.61730101116009,41.18743550806258,41.304115295410156,3990400,41.457639358685356
2007-02-27 00:00:00+00:00,40.63474192454616,39.001246226949924,39.81185531616211,10791600,40.56105338360545
2007-02-28 00:00:00+00:00,39.95310981470816,38.69421267803697,39.56623077392578,9555400,39.71361259634045
2007-03-01 00:00:00+00:00,39.480234995958874,38.534526531606886,39.24073791503906,7993700,39.24073791503906
2007-03-02 00:00:00+00:00,39.40040911926332,38.65120876423398,38.71261978149414,6037300,38.93369475844918
2007-03-05 00:00:00+00:00,39.17934271269657,38.28276269428255,38.79246139526367,6710700,38.3933002135491
2007-03-06 00:00:00+00:00,39.38197839368329,38.80472894424297,39.068790435791016,5360600,39.03194617168048
2007-03-07 00:00:00+00:00,39.701328297792465,39.07494976597813,39.44340896606445,5284300,39.1363584613634
2007-03-08 00:00:00+00:00,39.9101200809462,39.30216601229483,39.48639678955078,4206200,39.64605846564376
2007-03-09 00:00:00+00:00,39.793441424213725,39.30830479340211,39.54780197143555,3267700,39.58464624953827
2007-03-12 00:00:00+00:00,39.84871325809931,39.07495285907436,39.65220260620117,4949100,39.486398647017914
2007-03-13 00:00:00+00:00,39.70130960584837,38.798587684631585,38.89684295654297,6297900,39.36969718467603
2007-03-14 00:00:00+00:00,39.167054482680165,38.43014092434833,39.08108139038086,6611900,38.81701983969522
2007-03-15 00:00:00+00:00,39.246894339928,38.792462048338315,38.970550537109375,4546400,38.98897501902493
2007-03-16 00:00:00+00:00,39.369696160558455,38.62664053964569,38.78630447387695,5239200,39.13019908791636
2007-03-19 00:00:00+00:00,39.762728275485706,39.23460517762994,39.406551361083984,5076000,39.70131959356385
2007-03-20 00:00:00+00:00,40.02679473602499,39.308303230492115,39.830284118652344,4730600,39.4065561965871
2007-03-21 00:00:00+00:00,40.80669882238988,39.910118752304314,40.65931701660156,5864200,39.97766972270378
2007-03-22 00:00:00+00:00,41.06462956794072,40.49351970609662,40.861976623535156,4674200,40.91110546190934
2007-03-23 00:00:00+00:00,41.40849442800125,40.89879361173385,41.07073974609375,3955400,40.92950028651845
2007-03-26 00:00:00+00:00,41.586596016847466,40.690016114064335,41.04618835449219,7645500,41.42078741674037
2007-03-27 00:00:00+00:00,41.16899735725985,40.616310007402475,41.07073974609375,4266500,40.720705205380874
2007-03-28 00:00:00+00:00,40.9847786571638,40.376824737229896,40.677730560302734,4428700,40.86810356628045
