rule,split,horizon_weeks,count,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_5bps,win_rate_net_5bps,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,score_bucket
candidate,development,13,4838,3.917689251254792,3.4535571314402547,11.319120175117167,0.6612236461347665,3.917689251254792,0.6612236461347665,3.051836500462276,3.813823494881735,0.6581231914014055,3.7100615005030453,0.6541959487391484,3.3993965367847037,0.6401405539479124,40-59
candidate,development,13,6705,4.861803513716462,4.260775065148459,12.971681357671427,0.6930648769574944,4.861803513716462,0.6930648769574944,3.1882791073913848,4.756994114902165,0.6873974645786727,4.652289420781974,0.6842654735272184,4.33880199993235,0.6714392244593587,60-79
candidate,development,13,725,5.214590228863822,3.812886655429426,19.969243066470405,0.7062068965517241,5.214590228863822,0.7062068965517241,2.7246073163009084,5.109428219639583,0.6993103448275862,5.0043712673676035,0.696551724137931,4.6898291803408245,0.68,80-100
candidate,validation,13,3108,4.5036806783592365,4.659065420832064,13.74757944283746,0.6869369369369369,4.5036806783592365,0.6869369369369369,2.345535145821005,4.399229223408363,0.6837194337194337,4.294882115565322,0.6814671814671814,3.9824653133798993,0.6705276705276705,40-59
candidate,validation,13,3378,5.201119738930031,4.8900877885346254,15.355335329699413,0.6844286560094731,5.201119738930031,0.6844286560094731,3.6617964794486673,5.095971193463845,0.6811722912966253,4.990927691499612,0.6773238602723505,4.676425874895479,0.6651865008880995,60-79
candidate,validation,13,286,6.239618506814512,5.204163676499118,14.30751882985522,0.7027972027972028,6.239618506814512,0.7027972027972028,4.508001183108217,6.1334319815703315,0.6958041958041958,6.027351536770937,0.6958041958041958,5.709745097802979,0.6853146853146853,80-100
candidate,holdout,13,3734,4.1723751411108925,3.277318827127118,13.392138494264298,0.6341724692019283,4.1723751411108925,0.6341724692019283,3.503623303100651,4.068254826127284,0.6320299946438136,3.96423852744235,0.6269416175682914,3.6528121728260614,0.6114086770219603,40-59
candidate,holdout,13,3880,4.4079786475523735,3.344884833003947,13.9472184148802,0.6275773195876289,4.4079786475523735,0.6275773195876289,4.194331325851292,4.303622846805206,0.6247422680412371,4.199371297607225,0.6216494845360825,3.8872405994349166,0.61159793814433,60-79
candidate,holdout,13,336,3.1199627705869983,3.0347040643095236,11.96256742495596,0.6398809523809523,3.1199627705869983,0.6398809523809523,4.22133530934915,3.0168943420307004,0.6339285714285714,2.9139288789374858,0.6279761904761905,2.605648741806027,0.6130952380952381,80-100
candidate,development,26,4629,8.295105674709141,7.334062691830945,17.60910862722788,0.7364441564052712,8.295105674709141,0.7364441564052712,6.381518301130186,8.186864689527036,0.733851803845323,8.078731837197246,0.7316915100453661,7.754980459373947,0.723698422985526,40-59
candidate,development,26,6422,9.442980155792462,7.830099307470418,20.17947710849161,0.7650264715042043,9.442980155792462,0.7650264715042043,6.25524091924377,9.33359186977969,0.7616007474307069,9.224312862773907,0.7598878853939582,8.89712988070124,0.7514792899408284,60-79
candidate,development,26,717,12.472582768536993,8.188330438696978,37.72826051164901,0.8075313807531381,12.472582768536993,0.8075313807531381,6.846182935622199,12.36016639395576,0.8075313807531381,12.247862323445025,0.806136680613668,11.911622255975724,0.800557880055788,80-100
candidate,validation,26,2944,9.726479184578725,8.376219760627523,20.539981358244095,0.7333559782608695,9.726479184578725,0.7333559782608695,6.011038281904369,9.616807541215838,0.7326766304347826,9.507245459934223,0.7313179347826086,9.17921494924418,0.7241847826086957,40-59
candidate,validation,26,3118,9.614406788591007,7.319164040343573,25.153627474515186,0.6885824246311738,9.614406788591007,0.6885824246311738,6.316526448321981,9.504847161615915,0.6866581141757537,9.39539698481761,0.6853752405388069,9.067701517824979,0.6735086593970494,60-79
candidate,validation,26,285,14.106976252053462,10.421366798162124,30.965713794250433,0.775438596491228,14.106976252053462,0.775438596491228,8.328967326770817,13.99292630077706,0.775438596491228,13.878990285515906,0.775438596491228,13.537864151045726,0.7649122807017544,80-100
candidate,holdout,26,3585,8.49723372030754,7.488936478815722,20.281802966082992,0.7040446304044631,8.49723372030754,0.7040446304044631,6.676688396896436,8.38879070809335,0.700139470013947,8.280456030556685,0.697907949790795,7.95610038504417,0.6898186889818689,40-59
candidate,holdout,26,3595,6.975091726850739,5.769189078866654,20.033269487390157,0.6447844228094576,6.975091726850739,0.6447844228094576,7.118729681166112,6.868170095939355,0.6420027816411683,6.7613552798440555,0.6397774687065368,6.441550122228053,0.6325452016689846,60-79
candidate,holdout,26,323,4.952400682669723,4.795220004490708,18.17563973492627,0.6222910216718266,4.952400682669723,0.6222910216718266,6.048316191338828,4.84750073196242,0.6160990712074303,4.742705576410655,0.6160990712074303,4.428947312681357,0.5975232198142415,80-100
