rule,split,horizon_weeks,count,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_5bps,win_rate_net_5bps,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps
candidate,development,13,12268,4.510331844878206,3.9448036400674513,12.89541205008218,0.6812846429735898,4.510331844878206,0.6812846429735898,3.1070701588371272,4.4058737420847365,0.6765568959895664,4.301519993040299,0.6731333550701011,3.989083306998525,0.6596022171503098
candidate,validation,13,6772,4.92488968095025,4.801036743683406,14.601088435967998,0.6863555818074424,4.92488968095025,0.6863555818074424,3.093437696272627,4.820017227496039,0.6829592439456585,4.715249541727585,0.6800059066745422,4.401573522940535,0.6684878913171884
candidate,holdout,13,7950,4.242882191236291,3.307990441829811,13.612229936434101,0.6311949685534591,4.242882191236291,0.6311949685534591,3.8710570593738565,4.138691404438464,0.6285534591194969,4.034604704340725,0.6244025157232704,3.7229675668411084,0.6115723270440252
baseline,development,13,11015,4.305106627530422,3.682429732629089,12.953982850373805,0.6746255106672719,4.305106627530422,0.6746255106672719,2.8917124892335786,4.200853647392972,0.6696323195642306,4.096704816086816,0.666182478438493,3.784881656819558,0.651838402178847
baseline,validation,13,6048,4.751083233125065,4.639445581407808,14.746134835238054,0.6838624338624338,4.751083233125065,0.6838624338624338,2.6261033664265594,4.646384499258884,0.6802248677248677,4.54179035953242,0.6769179894179894,4.228633940191784,0.6653439153439153
baseline,holdout,13,7204,4.282524291480135,3.277318827127118,13.358390193164329,0.6315935591338145,4.282524291480135,0.6315935591338145,3.931675272507455,4.178293882393208,0.6288173237090505,4.074167599589075,0.6243753470294281,3.762411950874259,0.6117434758467518
candidate,development,26,11768,9.176045596003469,7.664610231454305,20.782838425631773,0.7563732154996601,9.176045596003469,0.7563732154996601,6.340917621019394,9.066924111149905,0.7534840244731476,8.95791163876871,0.7516145479265806,8.631526665350098,0.7435418082936778
candidate,validation,26,6347,9.868120894605603,8.110056005340383,23.460914359934126,0.7132503544981881,9.868120894605603,0.7132503544981881,6.265193296978742,9.758307680318152,0.7119899164959823,9.648604169541468,0.7107294784937765,9.320150216827033,0.7011186387269576
candidate,holdout,26,7503,7.615308951863689,6.563483079813759,20.098186241559944,0.6721311475409836,7.615308951863689,0.6721311475409836,6.861437723106536,7.507747423675929,0.6686658669865387,7.400293349562273,0.6665333866453419,7.078574243874354,0.6584033053445288
baseline,development,26,10546,8.93894444024322,7.295971663838518,21.32680349023019,0.7516593969277451,8.93894444024322,0.7516593969277451,5.914398924472821,8.830059938054085,0.7489095391617675,8.721284211591398,0.7469182628484734,8.395608058995135,0.7384790441873696
baseline,validation,26,5649,9.731466438503205,7.901242704033318,24.036665926776408,0.7050805452292441,9.731466438503205,0.7050805452292441,5.627117106115867,9.621789810378777,0.7038413878562577,9.512222749315399,0.7026022304832714,9.184177329084248,0.6928659939812356
baseline,holdout,26,6805,7.760679098455338,6.73630144498556,19.414407433533015,0.6827332843497428,7.760679098455338,0.6827332843497428,6.9290586270196,7.652972272769739,0.678765613519471,7.545373046310585,0.6765613519470978,7.223219352328392,0.6684790595150625
