rule,split,horizon_weeks,count,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_5bps,win_rate_net_5bps,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,ticker,cohort
baseline,development,13,19,6.377884972205954,5.345656952144839,11.066724885924133,0.6842105263157895,6.377884972205954,0.6842105263157895,3.166032423243729,6.271560249595066,0.6842105263157895,6.16534174548827,0.6842105263157895,5.8473219548882325,0.6842105263157895,AAPL,stock
baseline,holdout,13,13,3.855027534991027,2.7998559972744586,11.62432961902664,0.6923076923076923,3.855027534991027,0.6923076923076923,1.9817880008755582,3.7512244090190316,0.6923076923076923,3.6475249824735703,0.6923076923076923,3.337047347784102,0.6923076923076923,AAPL,stock
baseline,validation,13,13,12.072803385357542,10.132965756265966,17.35630831915848,0.7692307692307693,12.072803385357542,0.7692307692307693,3.739302545365121,11.960786590369695,0.7692307692307693,11.848881700271928,0.7692307692307693,11.513836784931827,0.7692307692307693,AAPL,stock
candidate,development,13,22,5.946473231350129,5.285876878596396,14.585769800218074,0.6363636363636364,5.946473231350129,0.6363636363636364,2.7905786014391722,5.840579704882026,0.6363636363636364,5.734791966152634,0.6363636363636364,5.418061893537921,0.6363636363636364,AAPL,stock
candidate,holdout,13,15,5.569683260878611,2.173250380565528,9.041716179866429,0.7333333333333333,5.569683260878611,0.7333333333333333,4.241485517765468,5.464166336080145,0.7333333333333333,5.358754822794951,0.7333333333333333,5.043151174789455,0.7333333333333333,AAPL,stock
candidate,validation,13,13,10.18853016106088,10.132965756265966,16.3988458463856,0.6923076923076923,10.18853016106088,0.6923076923076923,3.6766148961214498,10.07839669763155,0.6923076923076923,9.968373257642188,0.6923076923076923,9.638961432078045,0.6923076923076923,AAPL,stock
baseline,development,13,9,-1.98796744011154,-2.552996754056047,10.856022567474092,0.4444444444444444,-1.98796744011154,0.4444444444444444,-0.3346616382104686,-2.0859304911459065,0.4444444444444444,-2.1837956769944245,0.4444444444444444,-2.4768055077419016,0.4444444444444444,ABBV,stock
baseline,holdout,13,15,4.707292735404544,1.7065155536184928,10.973083453531828,0.5333333333333333,4.707292735404544,0.5333333333333333,3.0772917596213394,4.602637770151783,0.5333333333333333,4.49808735531384,0.5333333333333333,4.185061848943687,0.5333333333333333,ABBV,stock
baseline,validation,13,9,8.157169658800454,9.511522452317944,9.293497853673184,0.7777777777777778,8.157169658800454,0.7777777777777778,4.715542606918571,8.049066540700712,0.7777777777777778,7.9410714177239425,0.7777777777777778,7.617732403644349,0.7777777777777778,ABBV,stock
candidate,development,13,9,-0.21036080329108633,-2.552996754056047,10.051088892727265,0.4444444444444444,-0.21036080329108633,0.4444444444444444,-0.08611244614304825,-0.310100572603131,0.4444444444444444,-0.40974070178599514,0.4444444444444444,-0.7080647394342614,0.4444444444444444,ABBV,stock
candidate,holdout,13,16,5.195886668618363,5.033760580448976,12.187073781242558,0.5625,5.195886668618363,0.5625,3.0409829326440514,5.090743353607271,0.5625,4.985705076872889,0.5625,4.671218904685119,0.5625,ABBV,stock
candidate,validation,13,12,2.3207495343510924,4.583168153522621,12.934675620510856,0.5833333333333334,2.3207495343510924,0.5833333333333334,2.9539875588315634,2.2184799196241087,0.5833333333333334,2.1163124723444082,0.5833333333333334,1.8104216064989718,0.5833333333333334,ABBV,stock
baseline,development,13,23,4.879468479891883,3.155081072511745,6.8619130877236305,0.7391304347826086,4.879468479891883,0.7391304347826086,2.9777795252264743,4.774641424939481,0.6956521739130435,4.669919092319685,0.6956521739130435,4.356378861538319,0.6956521739130435,ACN,stock
baseline,holdout,13,11,2.1344348491061633,8.317401956212866,12.87749889035845,0.5454545454545454,2.1344348491061633,0.5454545454545454,4.019092509797499,2.0323514559536457,0.5454545454545454,1.930370044212858,0.5454545454545454,1.6250361715545238,0.5454545454545454,ACN,stock
baseline,validation,13,13,5.110501312835523,6.1270101952746625,9.041155750414823,0.6923076923076923,5.110501312835523,0.6923076923076923,2.911306182426105,5.005443340508861,0.6923076923076923,4.900490321201498,0.6923076923076923,4.58625941102588,0.6923076923076923,ACN,stock
candidate,development,13,24,6.275499852683481,4.466012725482926,7.451271535519259,0.75,6.275499852683481,0.75,3.8558829841795035,6.169277464025136,0.75,6.063161191639168,0.7083333333333334,5.74544748434093,0.6666666666666666,ACN,stock
candidate,holdout,13,14,0.24109064419427334,-3.9838973686623866,15.17382020019088,0.42857142857142855,0.24109064419427334,0.42857142857142855,3.744801890808958,0.14089964904766308,0.42857142857142855,0.04080874480528759,0.42857142857142855,-0.2588649201159094,0.42857142857142855,ACN,stock
candidate,validation,13,12,7.264390736750351,5.784769409345635,10.557763576049613,0.75,7.264390736750351,0.75,4.612053120796957,7.157179951406278,0.75,7.050076269743868,0.75,6.729406244297745,0.75,ACN,stock
baseline,development,13,22,3.7898298155918373,4.433943700715437,9.514985458274452,0.7727272727272727,3.7898298155918373,0.7727272727272727,3.4534351395638385,3.686091854756674,0.7727272727272727,3.5824575282480056,0.7272727272727273,3.2721748040427623,0.7272727272727273,ADBE,stock
baseline,holdout,13,10,1.7854472356284714,-1.1349205076001514,20.773286855405356,0.5,1.7854472356284714,0.5,3.3817356029120633,1.6837126556828317,0.5,1.5820797086841671,0.5,1.2777891446777156,0.5,ADBE,stock
baseline,validation,13,12,12.933067093087109,10.528132801157742,13.49701509309277,0.9166666666666666,12.933067093087109,0.9166666666666666,5.650470558939181,12.820190464308423,0.9166666666666666,12.707426599394639,0.9166666666666666,12.369809900602897,0.9166666666666666,ADBE,stock
candidate,development,13,22,5.320137276664178,6.2844530165146795,8.671557817560991,0.7272727272727273,5.320137276664178,0.7272727272727273,3.524380400881297,5.214869773139287,0.7272727272727273,5.109707431955565,0.6818181818181818,4.794849808950152,0.6363636363636364,ADBE,stock
candidate,holdout,13,11,1.154434166487136,0.6749219233446846,19.722773358601476,0.5454545454545454,1.154434166487136,0.5454545454545454,2.7455247228393875,1.0533302842617742,0.5454545454545454,0.9523274049157425,0.5454545454545454,0.6499232728887084,0.5454545454545454,ADBE,stock
candidate,validation,13,13,9.776993745559283,12.103600898753797,11.486858509141406,0.6923076923076923,9.776993745559283,0.6923076923076923,2.9175057300965324,9.667271612880075,0.6923076923076923,9.557659092721016,0.6923076923076923,9.229477567277208,0.6923076923076923,ADBE,stock
baseline,development,13,22,8.22268852502497,9.650733201209981,15.096967903625885,0.7727272727272727,8.22268852502497,0.7727272727272727,3.0354623755027945,8.114519920802069,0.7727272727272727,8.006459377122834,0.7727272727272727,7.682924492481215,0.7727272727272727,AMZN,stock
