ticker,split,rule,group,overlap_policy,cohort,signal_time,score,13_bar_exit_time,13_bar_gross_return_pct,13_bar_net_return_pct_0bps,13_bar_net_return_pct_10bps,13_bar_net_return_pct_25bps,13_bar_net_return_pct_5bps,13_bar_outcome_status,13_bar_raw_exit_price,13_bar_spy_net_return_pct_0bps,13_bar_spy_net_return_pct_10bps,13_bar_spy_net_return_pct_25bps,13_bar_spy_net_return_pct_5bps,13_bar_spy_return_pct,26_bar_exit_time,26_bar_gross_return_pct,26_bar_net_return_pct_0bps,26_bar_net_return_pct_10bps,26_bar_net_return_pct_25bps,26_bar_net_return_pct_5bps,26_bar_outcome_status,26_bar_raw_exit_price,26_bar_spy_net_return_pct_0bps,26_bar_spy_net_return_pct_10bps,26_bar_spy_net_return_pct_25bps,26_bar_spy_net_return_pct_5bps,26_bar_spy_return_pct,data_source,entry_time,ma40,raw_entry_price,reasons,signal_close
AAPL,development,candidate,baseline_and_candidate,non_overlapping,stock,2010-01-01T00:00:00+00:00,40.0,2010-04-09T00:00:00+00:00,13.287692159151643,13.287692159151643,13.06134312386864,12.722666263096038,13.174461082530819,complete,7.238086223602295,6.827719116539632,6.614277120302803,6.294912537404795,6.720944784589089,6.827719116539632,2010-07-09T00:00:00+00:00,21.641754040137307,21.641754040137307,21.398713572524652,21.035062000036863,21.520173076578963,complete,7.77183723449707,-3.0699284220576883,-3.263594898736877,-3.5533701755636304,-3.166810052820246,-3.0699284220576883,yahoo,2010-01-08T00:00:00+00:00,4.9221622288227085,6.389119670152611,"['Price above long-term EMA50 — secular uptrend', 'Tight BB on weekly — coiling for breakout']",6.308291912078857
AAPL,development,candidate,baseline_and_candidate,non_overlapping,stock,2010-04-16T00:00:00+00:00,40.0,2010-07-23T00:00:00+00:00,5.226096805047953,5.226096805047953,5.015854853389534,4.701278367117534,5.120923294997937,complete,7.781414031982422,-6.7848491776102975,-6.971093235197479,-7.2497626480461435,-6.878017744149401,-6.7848491776102975,2010-10-22T00:00:00+00:00,24.46672701876105,24.46672701876105,24.21804224949282,23.84594533786948,24.342322494004677,complete,9.204248428344728,0.45348090695036536,0.25277465139204036,-0.04753396041596858,0.3530776276830627,0.45348090695036536,yahoo,2010-04-23T00:00:00+00:00,5.873787009716034,7.394946945907366,"['Price above long-term EMA50 — secular uptrend', 'MACD above signal on weekly — bullish bias']",7.40602445602417
AAPL,development,candidate,baseline_and_candidate,non_overlapping,stock,2010-07-30T00:00:00+00:00,60.0,2010-11-05T00:00:00+00:00,21.766983482555545,21.766983482555545,21.523692806266716,21.159666856707403,21.645277352138194,complete,9.493419647216797,10.167890619251496,9.947774953678557,9.618424830626804,10.05777778504935,10.167890619251496,2011-02-04T00:00:00+00:00,33.04405730113555,33.04405730113555,32.77823500882562,32.38049591808752,32.91107973261871,complete,10.372623443603516,18.35479456848752,18.118321452466567,17.764496341213288,18.236498921742417,18.35479456848752,yahoo,2010-08-06T00:00:00+00:00,6.787401473522186,7.796382381909653,"['Price above long-term EMA50 — secular uptrend', 'RSI healthy, not overbought (57)', 'Tight BB on weekly — coiling for breakout']",7.700887203216553
AAPL,development,candidate,baseline_and_candidate,non_overlapping,stock,2010-11-12T00:00:00+00:00,60.0,2011-02-18T00:00:00+00:00,13.64842282246368,13.64842282246368,13.42135304659462,13.08159777098008,13.534831195454755,complete,10.49416160583496,12.155778054649424,11.93169058600878,11.59639761547413,12.043678326458895,12.155778054649424,2011-05-20T00:00:00+00:00,8.675341368139232,8.675341368139232,8.458207818952147,8.133319715430321,8.566720337286537,complete,10.034953117370604,11.872721623465733,11.649199702140134,11.314752937064432,11.760904810248896,11.872721623465733,yahoo,2010-11-19T00:00:00+00:00,7.701247656345368,9.233882305809429,"['Price above long-term EMA50 — secular uptrend', 'RSI healthy, not overbought (63)', 'MACD above signal on weekly — bullish bias']",9.2210111618042
AAPL,development,candidate,baseline_and_candidate,non_overlapping,stock,2011-02-25T00:00:00+00:00,75.0,2011-06-03T00:00:00+00:00,-2.220684372231385,-2.220684372231385,-2.4160476402189324,-2.7083617569085283,-2.318414822633952,complete,10.281021118164062,-1.3804065485076622,-1.5774486932658704,-1.8722748450238136,-1.4789768568049921,-1.3804065485076622,2011-09-02T00:00:00+00:00,6.49418735732028,6.49418735732028,6.281411758204758,5.963044278231422,6.387746390446392,complete,11.197347640991213,-10.443650385660309,-10.622584151123505,-10.890315471018596,-10.533161979477734,-10.443650385660309,yahoo,2011-03-04T00:00:00+00:00,8.810010969638824,10.51451531661603,"['Price above long-term EMA50 — secular uptrend', 'RSI healthy, not overbought (65)', 'MACD above signal on weekly — bullish bias', 'Tight BB on weekly — coiling for breakout']",10.422313690185549
AAPL,development,candidate,candidate_only,non_overlapping,stock,2011-06-10T00:00:00+00:00,60.0,2011-09-16T00:00:00+00:00,22.402247758809057,22.402247758809057,22.157687823227022,21.79176273258061,22.27990668158888,complete,11.989139556884766,-4.0157396020280895,-4.207516346079965,-4.494464092791029,-4.111675894279932,-4.0157396020280895,2011-12-16T00:00:00+00:00,16.448679612311736,16.448679612311736,16.216014917781642,15.867888192798961,16.3322891279416,complete,11.40599536895752,-3.351355697674474,-3.544459882094686,-3.833393823870601,-3.447956041804723,-3.351355697674474,yahoo,2011-06-17T00:00:00+00:00,9.77636352777481,9.794868784198393,"['Price above long-term EMA50 — secular uptrend', 'RSI healthy, not overbought (47)', 'Tight BB on weekly — coiling for breakout']",9.75595474243164
AAPL,development,candidate,baseline_and_candidate,non_overlapping,stock,2011-09-23T00:00:00+00:00,85.0,2011-12-30T00:00:00+00:00,1.2854369393773268,1.2854369393773268,1.0830684340039642,0.780272665365489,1.1842021198477326,complete,12.123846054077148,10.196265090938983,9.976092733114971,9.646657783752266,10.08612389644532,10.196265090938983,2012-03-30T00:00:00+00:00,49.939960155071006,49.939960155071006,49.64037981510088,49.19212992985869,49.79009512742978,complete,17.947782516479492,24.181134627740587,23.93302047264023,23.561777347801716,24.057015552650384,24.181134627740587,yahoo,2011-09-30T00:00:00+00:00,10.531072688102721,11.969979515745852,"['Price above long-term EMA50 — secular uptrend', 'RSI healthy, not overbought (64)', '8-period volume accumulation (1.33x avg)', 'MACD above signal on weekly — bullish bias']",12.10289192199707
AAPL,development,candidate,baseline_and_candidate,non_overlapping,stock,2012-01-06T00:00:00+00:00,75.0,2012-04-13T00:00:00+00:00,42.239736644694915,42.239736644694915,41.955541366683555,41.53031152427251,42.09756799237638,complete,18.117816925048828,7.610140125420162,7.395134850444296,7.073431197113833,7.502583763475723,7.610140125420162,2012-07-13T00:00:00+00:00,42.178686616839165,42.178686616839165,41.89461331690543,41.46956598533376,42.03657898403874,complete,18.11004066467285,7.07139369518841,6.857464836656568,6.537371781496715,6.964375810435608,7.07139369518841,yahoo,2012-01-13T00:00:00+00:00,11.096081829071045,12.737521421532078,"['Price above long-term EMA50 — secular uptrend', 'RSI healthy, not overbought (61)', 'MACD above signal on weekly — bullish bias', 'Tight BB on weekly — coiling for breakout']",12.644726753234863
AAPL,development,candidate,baseline_and_candidate,non_overlapping,stock,2012-04-20T00:00:00+00:00,65.0,2012-07-27T00:00:00+00:00,2.5499427400103247,2.5499427400103247,2.345047749520801,2.0384717039005684,2.447444046617031,complete,17.517017364501953,2.093573999157794,1.8895908343243173,1.5843791163689724,1.991531446435002,2.093573999157794,2012-10-26T00:00:00+00:00,6.306117922184051,6.306117922184051,6.0937180861757145,5.775912845265441,6.199864930757593,complete,18.158626556396484,4.614688177542758,4.4056678215436795,4.092919159200914,4.510125770568729,4.614688177542758,yahoo,2012-04-27T00:00:00+00:00,13.222582530975341,17.08145016610293,"['Price above long-term EMA50 — secular uptrend', '8-period volume accumulation (1.62x avg)', 'MACD above signal on weekly — bullish bias']",17.15239906311035
AAPL,development,candidate,baseline_and_candidate,non_overlapping,stock,2012-08-03T00:00:00+00:00,60.0,2012-11-09T00:00:00+00:00,-10.590153126235503,-10.590153126235503,-10.76879417893032,-11.036087524608384,-10.6795182905271,complete,16.521902084350586,-0.5886673973535594,-0.7872914385176788,-1.0844845175662532,-0.688029049130312,-0.5886673973535594,2013-02-08T00:00:00+00:00,-21.91826022330131,-21.91826022330131,-22.07426769538263,-22.30769533440703,-21.996302941718792,complete,14.42859935760498,10.00049279911952,9.780711594725688,9.451861912340886,9.89054727908043,10.00049279911952,yahoo,2012-08-10T00:00:00+00:00,15.410795521736144,18.47883948137999,"['Price above long-term EMA50 — secular uptrend', 'RSI healthy, not overbought (64)', 'Tight BB on weekly — coiling for breakout']",18.431241989135746
