rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,score_bucket
candidate,development,13,4690,sufficient_sample,3.433120208614506,3.169294061953598,10.002937113516904,0.6481876332622601,3.433120208614506,0.6481876332622601,2.964146316544737,3.2264606277781245,0.6405117270788913,2.917244297349606,0.6253731343283582,40-59
candidate,development,13,7005,sufficient_sample,3.8140098497805637,3.6555083183326786,9.979553601335178,0.6745182012847966,3.8140098497805637,0.6745182012847966,3.2200934397696868,3.606589250680115,0.6649536045681655,3.29623423955723,0.6529621698786581,60-79
candidate,development,13,821,sufficient_sample,2.821752773253032,3.629271202007911,9.14390592078283,0.6857490864799025,2.821752773253032,0.6857490864799025,2.802523645258595,2.6163147057740153,0.6760048721071864,2.3089260761295862,0.6577344701583435,80-100
candidate,validation,13,2945,sufficient_sample,3.3704895869277345,4.106160251600777,11.972132620198353,0.6709677419354839,3.3704895869277345,0.6709677419354839,2.746800903879994,3.1639551421986183,0.6651952461799661,2.854926047840823,0.6533106960950764,40-59
candidate,validation,13,3453,sufficient_sample,3.6360124924178847,4.04071947558764,12.105407979157633,0.6655082536924414,3.6360124924178847,0.6655082536924414,3.15948481781636,3.428947532393085,0.6573993628728642,3.1191246495629437,0.6455256298870548,60-79
candidate,validation,13,274,sufficient_sample,3.4780786510296937,3.0383289705872674,11.96248520301677,0.656934306569343,3.4780786510296937,0.656934306569343,4.657042479406909,3.2713292431355394,0.6423357664233577,2.9619785081318004,0.6240875912408759,80-100
candidate,holdout,13,3598,sufficient_sample,4.192049117118942,3.1431063293289485,12.532307869468463,0.6242356864924958,4.192049117118942,0.6242356864924958,3.695169834222162,3.983873194807028,0.6167315175097277,3.672388024265492,0.6028349082823791,40-59
candidate,holdout,13,3773,sufficient_sample,3.3955075550500893,2.8486787936828906,12.15805351318848,0.6064139941690962,3.3955075550500893,0.6064139941690962,3.8670306386303412,3.1889231243706795,0.5992578849721707,2.879819238067306,0.5870659952292605,60-79
candidate,holdout,13,384,sufficient_sample,3.051222223064467,2.072009023423438,11.70521879350046,0.5833333333333334,3.051222223064467,0.5833333333333334,4.072718491282086,2.8453256751662486,0.5755208333333334,2.5372510399070496,0.5651041666666666,80-100
candidate,development,26,4452,sufficient_sample,7.154856444040891,6.648891934637335,14.083616536318647,0.717654986522911,7.154856444040891,0.717654986522911,6.448102364332087,6.9407608267700915,0.7127133872416891,6.6204182572875805,0.7059748427672956,40-59
candidate,development,26,6734,sufficient_sample,7.389526467706712,7.130535377075587,13.529507559940798,0.7398277398277399,7.389526467706712,0.7398277398277399,6.39278287572794,7.1749619792597565,0.7350757350757351,6.853917856895218,0.7270567270567271,60-79
candidate,development,26,820,sufficient_sample,8.086515170250841,7.400739070500784,12.014114146445282,0.7975609756097561,8.086515170250841,0.7975609756097561,6.871137225011603,7.8705580969836175,0.7926829268292683,7.547430306558828,0.7865853658536586,80-100
candidate,validation,26,2817,sufficient_sample,7.459455699401377,6.8355824796776155,16.367052908646873,0.6993255236066738,7.459455699401377,0.6993255236066738,6.232737852723514,7.244751492209779,0.6957756478523252,6.9234983143669675,0.6851260205892794,40-59
candidate,validation,26,3174,sufficient_sample,6.6858627558793255,6.057627606696181,17.035493613128068,0.6669817265280403,6.6858627558793255,0.6669817265280403,5.96106928329934,6.472704188934523,0.6622558286074354,6.153763689765227,0.651543793320731,60-79
candidate,validation,26,268,sufficient_sample,9.862879723368383,9.294859007609858,17.934646887334804,0.7425373134328358,9.862879723368383,0.7425373134328358,8.926023980284581,9.643373470174852,0.7425373134328358,9.314935186094738,0.7388059701492538,80-100
candidate,holdout,26,3444,sufficient_sample,7.683831863217746,6.545890660180575,17.645145926396562,0.6907665505226481,7.683831863217746,0.6907665505226481,6.748106318416421,7.468679352002537,0.6826364692218351,7.146755395072033,0.6747967479674797,40-59
candidate,holdout,26,3475,sufficient_sample,6.479615053002992,4.679987746763858,18.777362253394685,0.6345323741007194,6.479615053002992,0.6345323741007194,6.8237344840312835,6.2668685693806205,0.6290647482014389,5.948544653736156,0.619568345323741,60-79
candidate,holdout,26,368,sufficient_sample,4.905250785138874,3.339729559760296,17.64363523171578,0.5760869565217391,4.905250785138874,0.5760869565217391,6.167599485528004,4.695649884469276,0.5679347826086957,4.382032576734202,0.5543478260869565,80-100
