rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,cohort
candidate,development,13,8742,sufficient_sample,3.8654778250232917,3.366346744129378,10.97458125302315,0.6460764127202013,3.8654778250232917,0.6460764127202013,3.121016873714112,3.6579543928054745,0.6368107984442919,3.347445516669072,0.6249142072752231,stock
baseline,development,13,7668,sufficient_sample,3.5570610862179617,3.142349786728249,10.76941821157003,0.6360198226395409,3.5570610862179617,0.6360198226395409,2.946653757640314,3.350153871260495,0.6267605633802817,3.0405670159625218,0.6142410015649452,stock
candidate,development,13,3774,sufficient_sample,3.0055974182835197,3.6233961749729704,6.93788636494731,0.7101218865924749,3.0055974182835197,0.7101218865924749,3.0408154522546407,2.799792028836411,0.7021727609962904,2.4918537902621662,0.6846846846846847,etf
baseline,development,13,3408,sufficient_sample,2.7943047697363137,3.3750291106525943,6.659104814537292,0.7059859154929577,2.7943047697363137,0.7059859154929577,2.793705717657335,2.588921543423165,0.6971830985915493,2.2816149703860185,0.6784037558685446,etf
candidate,validation,13,4693,sufficient_sample,3.9587580470019836,4.219468148230754,12.951845636588562,0.6528872789260601,3.9587580470019836,0.6528872789260601,3.10717508938839,3.751048240714278,0.64521627956531,3.4402605006329074,0.6341359471553377,stock
baseline,validation,13,4131,sufficient_sample,3.97464065710896,4.06187648687355,12.807908175930157,0.645364318566933,3.97464065710896,0.645364318566933,2.6921925357676275,3.7668991173345283,0.6368917937545389,3.456063895726882,0.625756475429678,stock
candidate,validation,13,1979,sufficient_sample,2.453655889652835,3.8052036627200136,9.458157732636442,0.7023749368367862,2.453655889652835,0.7023749368367862,2.876749208036511,2.2489532804827106,0.6958059626073775,1.942665087210687,0.6811520970186963,etf
baseline,validation,13,1763,sufficient_sample,2.0472659476306214,3.6525958154265625,9.249949549643036,0.6971072036301759,2.0472659476306214,0.6971072036301759,2.3361975867589817,1.8433753063766256,0.690300623936472,1.5383020276923247,0.6766874645490641,etf
candidate,holdout,13,5360,sufficient_sample,4.149083893912066,3.1152474401496266,13.719030532414672,0.5998134328358209,4.149083893912066,0.5998134328358209,3.820770614753288,3.940993816201964,0.5932835820895522,3.629637091448675,0.582089552238806,stock
baseline,holdout,13,4837,sufficient_sample,4.261210341730511,3.1150395773094752,13.577975492034872,0.6003721314864585,4.261210341730511,0.6003721314864585,3.8786996546481474,4.0528962351536375,0.5935497209013851,3.741204305113411,0.5823857763076287,stock
