rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,group
candidate,development,13,10867,sufficient_sample,3.337363498452139,3.2343184424096005,9.685197021838903,0.6578632557283519,3.337363498452139,0.6578632557283519,2.904589902819479,3.130895239713984,0.6488451274500783,2.8219651767641096,0.6342136744271648,baseline_and_candidate
baseline,development,13,10867,sufficient_sample,3.337363498452139,3.2343184424096005,9.685197021838903,0.6578632557283519,3.337363498452139,0.6578632557283519,2.904589902819479,3.130895239713984,0.6488451274500783,2.8219651767641096,0.6342136744271648,baseline_and_candidate
candidate,development,13,1649,sufficient_sample,5.377806346437982,5.435693515597428,11.316822668694364,0.7149787750151607,5.377806346437982,0.7149787750151607,4.366316472577954,5.167261278812742,0.7070952092177077,4.852231252440795,0.7004244996967859,candidate_only
baseline,development,13,209,sufficient_sample,2.5426120894798974,3.157906257412857,10.3402013986053,0.6411483253588517,2.5426120894798974,0.6411483253588517,2.6402067856105735,2.3377317456447844,0.6267942583732058,2.031177615218164,0.6220095693779905,baseline_only
candidate,validation,13,5770,sufficient_sample,3.29849701070105,3.7782206441546284,11.804337390143745,0.658578856152513,3.29849701070105,0.658578856152513,2.555878044873713,3.092106407283077,0.6504332755632583,2.783292536832227,0.6383015597920277,baseline_and_candidate
baseline,validation,13,5770,sufficient_sample,3.29849701070105,3.7782206441546284,11.804337390143745,0.658578856152513,3.29849701070105,0.658578856152513,2.555878044873713,3.092106407283077,0.6504332755632583,2.783292536832227,0.6383015597920277,baseline_and_candidate
candidate,validation,13,902,sufficient_sample,4.880164931771854,5.491814136718931,13.380142572860343,0.7250554323725056,4.880164931771854,0.7250554323725056,6.128207381688075,4.670614152687406,0.7228381374722838,4.3570718398428285,0.7106430155210643,candidate_only
baseline,validation,13,124,sufficient_sample,8.034215068103578,7.542998644911092,14.582040977225212,0.7661290322580645,8.034215068103578,0.7661290322580645,3.9737692886357276,7.818362490544944,0.7661290322580645,7.495391052801326,0.7661290322580645,baseline_only
candidate,holdout,13,6789,sufficient_sample,3.866681674638186,2.928572303865251,12.136446440612097,0.6154072764766534,3.866681674638186,0.6154072764766534,3.85390679913461,3.6591558371264328,0.6077478273678009,3.3486433620464857,0.5946383856238032,baseline_and_candidate
baseline,holdout,13,6789,sufficient_sample,3.866681674638186,2.928572303865251,12.136446440612097,0.6154072764766534,3.866681674638186,0.6154072764766534,3.85390679913461,3.6591558371264328,0.6077478273678009,3.3486433620464857,0.5946383856238032,baseline_and_candidate
candidate,holdout,13,966,sufficient_sample,2.9140892061449777,2.8486454958308816,13.499911403866932,0.6004140786749482,2.9140892061449777,0.6004140786749482,3.400909217816844,2.7084666502885555,0.5952380952380952,2.4008019781841656,0.5838509316770186,candidate_only
baseline,holdout,13,216,sufficient_sample,3.5782678566209034,2.7835443872193277,12.258004086095271,0.625,3.5782678566209034,0.625,4.563038645283671,3.3713182704937985,0.6157407407407407,3.061668016937018,0.6064814814814815,baseline_only
candidate,development,26,10393,sufficient_sample,6.933821425556102,6.545251201279334,13.570565586826069,0.7293370537862023,6.933821425556102,0.7293370537862023,6.036716559908847,6.720167436693863,0.7245261233522563,6.400485657847603,0.7164437602232272,baseline_and_candidate
baseline,development,26,10393,sufficient_sample,6.933821425556102,6.545251201279334,13.570565586826069,0.7293370537862023,6.933821425556102,0.7293370537862023,6.036716559908847,6.720167436693863,0.7245261233522563,6.400485657847603,0.7164437602232272,baseline_and_candidate
candidate,development,26,1613,sufficient_sample,10.032379718665943,10.061208744668937,13.802436664354255,0.7755734655920645,10.032379718665943,0.7755734655920645,9.076808507707286,9.812534804143146,0.7706137631742096,9.483589794882084,0.7675139491630503,candidate_only
baseline,development,26,204,sufficient_sample,6.631376013208061,8.554671667385849,17.02223705719872,0.6911764705882353,6.631376013208061,0.6911764705882353,4.395039915550647,6.418326310883981,0.6911764705882353,6.0995487014215,0.6911764705882353,baseline_only
candidate,validation,26,5393,sufficient_sample,6.688506233908672,6.039353847939211,16.590752180638802,0.6712404969404784,6.688506233908672,0.6712404969404784,5.499926494190985,6.475342385289486,0.667531985907658,6.156393983365498,0.6571481550157612,baseline_and_candidate
baseline,validation,26,5393,sufficient_sample,6.688506233908672,6.039353847939211,16.590752180638802,0.6712404969404784,6.688506233908672,0.6712404969404784,5.499926494190985,6.475342385289486,0.667531985907658,6.156393983365498,0.6571481550157612,baseline_and_candidate
candidate,validation,26,866,sufficient_sample,10.168998543611913,9.038692323180687,17.702528490532483,0.76905311778291,10.168998543611913,0.76905311778291,10.634096166118395,9.948880664403907,0.7632794457274826,9.619527229179946,0.7528868360277137,candidate_only
baseline,validation,26,121,sufficient_sample,13.868129182523074,7.770536173835896,21.672662404857395,0.7272727272727273,13.868129182523074,0.7272727272727273,6.324550524305482,13.640620432907658,0.7107438016528925,13.300208338719981,0.6942148760330579,baseline_only
candidate,holdout,26,6366,sufficient_sample,7.194601777990956,5.963534403797821,17.801496269795656,0.668865849827207,7.194601777990956,0.668865849827207,6.731579061855013,6.980426749463513,0.6619541313226516,6.659965360145625,0.6528432296575558,baseline_and_candidate
baseline,holdout,26,6366,sufficient_sample,7.194601777990956,5.963534403797821,17.801496269795656,0.668865849827207,7.194601777990956,0.668865849827207,6.731579061855013,6.980426749463513,0.6619541313226516,6.659965360145625,0.6528432296575558,baseline_and_candidate
candidate,holdout,26,921,sufficient_sample,5.411592417315957,3.3443190010699286,20.74502547961165,0.5841476655808904,5.411592417315957,0.5841476655808904,6.91574353478844,5.200979845053598,0.5776330076004343,4.885848814237086,0.5700325732899023,candidate_only
baseline,holdout,26,214,sufficient_sample,7.554398908504294,5.141566494509487,20.97484019065843,0.6448598130841121,7.554398908504294,0.6448598130841121,8.4287222425575,7.339505004591208,0.6355140186915887,7.017967991254906,0.6261682242990654,baseline_only
