rule,split,horizon_weeks,count,sample_status,mean_gross_return_pct,median_gross_return_pct,std_gross_return_pct,win_rate,mean_net_return_pct_0bps,win_rate_net_0bps,mean_spy_return_pct,mean_net_return_pct_10bps,win_rate_net_10bps,mean_net_return_pct_25bps,win_rate_net_25bps,ticker,cohort
baseline,development,13,19,insufficient_sample,5.360770927245462,5.345697969635044,11.640730039434535,0.631578947368421,5.360770927245462,0.631578947368421,2.5715295742574513,5.150259896421808,0.631578947368421,4.835280797932533,0.631578947368421,AAPL,stock
baseline,holdout,13,14,insufficient_sample,2.6404250961038818,2.7709601507093673,10.473568526629816,0.7857142857142857,2.6404250961038818,0.7857142857142857,2.2470012280742644,2.435349321686104,0.7857142857142857,2.128502776422575,0.7857142857142857,AAPL,stock
baseline,validation,13,13,insufficient_sample,11.184630654239104,9.833400369121836,20.696573004087206,0.8461538461538461,11.184630654239104,0.8461538461538461,3.57197318895434,10.962483540044827,0.8461538461538461,10.630093842996025,0.8461538461538461,AAPL,stock
candidate,development,13,22,sufficient_sample,5.234349941451389,7.857699642428639,14.779651143244067,0.5909090909090909,5.234349941451389,0.5909090909090909,1.9628494456475492,5.024091500009941,0.5909090909090909,4.709490340745912,0.5909090909090909,AAPL,stock
candidate,holdout,13,16,insufficient_sample,4.110162005177356,2.4163176920634744,9.417058706451197,0.75,4.110162005177356,0.75,4.133416775039928,3.9021496934787088,0.75,3.5909093268473056,0.75,AAPL,stock
candidate,validation,13,13,insufficient_sample,9.30036368649842,9.833400369121836,19.816206492862715,0.7692307692307693,9.30036368649842,0.7692307692307693,3.5092896312855157,9.08198134147046,0.7692307692307693,8.755224715493448,0.7692307692307693,AAPL,stock
baseline,development,13,22,sufficient_sample,8.369264366381474,9.650733201209981,15.143342406614854,0.7727272727272727,8.369264366381474,0.7727272727272727,2.809579544462006,8.152742359655448,0.7727272727272727,7.828769282259882,0.7727272727272727,AMZN,stock
baseline,holdout,13,13,insufficient_sample,5.045114003986097,4.974798169246308,12.49921939930602,0.7692307692307693,5.045114003986097,0.7692307692307693,4.792053995471862,4.8352336563258,0.7692307692307693,4.5211982234176045,0.7692307692307693,AMZN,stock
baseline,validation,13,12,insufficient_sample,9.641041567323573,11.547630817196852,16.895797889947282,0.75,9.641041567323573,0.75,1.5509565863605579,9.421978547209052,0.75,9.094203454768353,0.75,AMZN,stock
candidate,development,13,23,sufficient_sample,7.360818220491855,7.833718218464436,14.19068185535166,0.782608695652174,7.360818220491855,0.782608695652174,3.178555022323081,7.1463110911802,0.782608695652174,6.825352792958239,0.782608695652174,AMZN,stock
