strategy,total_signals,executed_trades,rejected_signals,no_signal_count,total_trades,pooled_expectancy,pooled_total_return,overall_maximum_drawdown_pct,median_per_symbol_expectancy,equal_weighted_per_symbol_mean_expectancy,positive_symbol_rate,median_per_symbol_total_return,median_per_symbol_maximum_drawdown_pct,median_per_symbol_profit_factor_order,median_per_symbol_profit_factor_value,trade_count_concentration,net_profit_concentration,absolute_loss_concentration,stock_stratum_trade_count,etf_stratum_trade_count,stock_stratum_pooled_expectancy,etf_stratum_pooled_expectancy,represented_stock_symbols,represented_etf_symbols,rejection_counts,exit_counts,positive_trade_rate,average_holding_minutes,cost_scenario_name
candidate,7605,232,0,7373,232,-0.31794939513535897,-73.76425967140328,-74.11906989491337,-0.4717330799733374,-0.4241766664005438,0.25,-1.0383038715246107,-2.0929041997217257,0.39199067391653053,0.39199067391653053,0.04310344827586207,,0.08012174548444535,200,32,-0.2282784403574195,-0.8783928624974806,56,12,{},"{'stop': 156, 'target': 68, 'time': 8}",0.3232758620689655,41.077586206896555,primary_5bps
candidate,7605,232,0,7373,232,-0.1571611883616086,-36.461395699893195,-38.905188172974235,-0.1666666666666804,-0.27903927412275853,0.3088235294117647,-0.9999999999999805,-1.9607843137254901,0.7499999999999793,0.7499999999999793,0.04310344827586207,,0.06374489142855069,200,32,-0.06810836582875741,-0.7137413291919285,56,12,{},"{'stop': 151, 'target': 76, 'time': 5}",0.3448275862068966,36.65948275862069,slippage_0bps
candidate,7605,232,0,7373,232,-0.2394361889459254,-55.54919583545469,-56.27013819178975,-0.30224220635671645,-0.3520499481215596,0.29411764705882354,-1.0139918483975494,-2.023188263889617,0.5603359571591294,0.5603359571591294,0.04310344827586207,,0.08717108105454303,200,32,-0.15621873802854042,-0.7595452571795814,56,12,{},"{'stop': 154, 'target': 73, 'time': 5}",0.33189655172413796,37.758620689655174,slippage_2.5bps
candidate,7605,232,0,7373,232,-0.31794939513535897,-73.76425967140328,-74.11906989491337,-0.4717330799733374,-0.4241766664005438,0.25,-1.0383038715246107,-2.0929041997217257,0.39199067391653053,0.39199067391653053,0.04310344827586207,,0.08012174548444535,200,32,-0.2282784403574195,-0.8783928624974806,56,12,{},"{'stop': 156, 'target': 68, 'time': 8}",0.3232758620689655,41.077586206896555,slippage_5bps
candidate,7605,232,0,7373,232,-0.45067137304865357,-104.55575854728762,-104.50321146003063,-0.6251473109268885,-0.5457289073509416,0.19117647058823528,-1.2319361189868627,-2.1913877163114623,0.28504382433728404,0.28504382433728404,0.04310344827586207,,0.06887192140119777,200,32,-0.37109536781744323,-0.9480214057437181,56,12,{},"{'stop': 161, 'target': 62, 'time': 9}",0.29310344827586204,45.797413793103445,slippage_10bps
