datetime,open,high,low,close,volume
2018-10-01T05:00:00+0000,94.84446,95.39446,94.67446,94.95446,7307132.0
2018-10-02T05:00:00+0000,94.95446,95.03446,94.66446,94.84446,5572670.0
2018-10-03T05:00:00+0000,95.16446,95.33446,94.51446,94.66446,6367826.0
2018-10-04T05:00:00+0000,94.59446,94.62946,93.24886,93.73446,10976848.0
2018-10-05T05:00:00+0000,93.81446,94.30446,93.03446,93.62446,12291090.0
2018-10-08T05:00:00+0000,93.50446,93.85446,92.79446,93.58446,11924047.0
2018-10-09T05:00:00+0000,93.33446,94.07446,93.04446,93.74446,7463876.0
2018-10-10T05:00:00+0000,93.73446,93.84446,91.45446,91.51446,22549315.0
2018-10-11T05:00:00+0000,91.26446,91.47446,88.37446,89.02446,46582163.0
2018-10-12T05:00:00+0000,90.10446,90.74446,89.35446,90.40446,20797355.0
2018-10-15T05:00:00+0000,90.25446,90.65446,89.70446,89.77446,13909713.0
2018-10-16T05:00:00+0000,90.47446,92.41446,90.46446,92.25446,13505912.0
2018-10-17T05:00:00+0000,92.19446,92.97446,91.72446,92.74446,14232285.0
2018-10-18T05:00:00+0000,92.69446,92.70446,90.94446,91.68446,14455855.0
2018-10-19T05:00:00+0000,91.84446,92.16446,90.72446,90.84446,11318605.0
2018-10-22T05:00:00+0000,90.83446,91.00446,89.67446,90.09446,8288278.0
2018-10-23T05:00:00+0000,88.93446,90.04446,88.21446,89.60446,15424486.0
2018-10-24T05:00:00+0000,89.56446,90.08446,86.51446,86.62446,17432153.0
2018-10-25T05:00:00+0000,86.61446,88.36446,85.60446,87.75446,15725063.0
2018-10-26T05:00:00+0000,86.93446,87.55446,85.68446,86.75446,25507931.0
2018-10-29T05:00:00+0000,87.76446,88.41446,85.74446,86.97446,14024311.0
2018-10-30T05:00:00+0000,86.98446,88.05446,86.53446,87.91446,15432052.0
2018-10-31T05:00:00+0000,88.62446,88.98446,87.96446,88.03446,13460681.0
2018-11-01T05:00:00+0000,88.33446,89.30446,88.30446,89.15446,9668637.0
2018-11-02T05:00:00+0000,90.02446,90.17446,88.00446,88.59446,12952437.0
2018-11-05T06:00:00+0000,88.71446,89.78446,88.71446,89.38446,7783769.0
2018-11-06T06:00:00+0000,89.26446,89.93946,89.13446,89.84446,7980944.0
2018-11-07T06:00:00+0000,90.68446,92.58446,90.62446,92.50446,13310811.0
2018-11-08T06:00:00+0000,92.33446,92.88946,92.20446,92.55446,7345597.0
2018-11-09T06:00:00+0000,92.44446,92.59446,91.83446,92.28446,8486522.0
2018-11-12T06:00:00+0000,92.14446,92.28446,90.81446,91.02446,8423548.0
2018-11-13T06:00:00+0000,91.33446,91.69946,90.11446,90.38446,14226950.0
2018-11-14T06:00:00+0000,90.94446,90.95446,89.22546,89.65446,11664016.0
2018-11-15T06:00:00+0000,89.01446,90.56446,88.16446,90.45446,15563868.0
2018-11-16T06:00:00+0000,90.29446,91.81446,90.24446,91.37446,11323185.0
2018-11-19T06:00:00+0000,91.46446,91.52446,89.80446,90.20446,8820959.0
2018-11-20T06:00:00+0000,89.63446,90.30446,89.14446,89.35446,11604320.0
2018-11-21T06:00:00+0000,89.64446,89.65446,88.81946,88.84446,9345117.0
2018-11-23T06:00:00+0000,88.36446,89.51446,88.31446,88.97446,3939469.0
2018-11-26T06:00:00+0000,89.69446,90.08446,89.31446,89.84446,7141247.0
2018-11-27T06:00:00+0000,89.54446,90.78446,89.21446,90.78446,9261963.0
2018-11-28T06:00:00+0000,91.05446,93.01446,91.03446,92.98446,11870393.0
2018-11-29T06:00:00+0000,92.76446,93.83946,92.63446,93.29446,8796008.0
2018-11-30T06:00:00+0000,93.23816,95.20446,93.13446,95.20446,15875944.0
2018-12-03T06:00:00+0000,95.14446,95.14446,94.19446,94.74446,12158136.0
