datetime,open,high,low,close,volume
2018-10-01T05:00:00+0000,7.104,7.3015,7.065,7.234,622058120.0
2018-10-02T05:00:00+0000,7.20625,7.319,7.1395,7.162,383964720.0
2018-10-03T05:00:00+0000,7.233,7.2405,7.06325,7.16825,320550760.0
2018-10-04T05:00:00+0000,7.13175,7.15625,6.9045,6.98225,391219560.0
2018-10-05T05:00:00+0000,6.95725,7.02,6.6885,6.7465,426634440.0
2018-10-08T05:00:00+0000,6.6625,6.779,6.502,6.64425,408610600.0
2018-10-09T05:00:00+0000,6.6235,6.719,6.57,6.6385,273499720.0
2018-10-10T05:00:00+0000,6.5315,6.57775,6.14,6.14225,684938160.0
2018-10-11T05:00:00+0000,6.05425,6.189,5.856525,5.87825,725437160.0
2018-10-12T05:00:00+0000,6.137665,6.23853,5.99125,6.1635,608236680.0
2018-10-15T05:00:00+0000,6.15,6.15,5.8835,5.8845,449761280.0
2018-10-16T05:00:00+0000,5.99825,6.157,5.9485,6.14575,408711800.0
2018-10-17T05:00:00+0000,6.2085,6.247,6.027,6.0765,329668040.0
2018-10-18T05:00:00+0000,6.1465,6.18525,5.92725,5.98825,524021920.0
2018-10-19T05:00:00+0000,6.044,6.06375,5.6925,5.72925,613609960.0
2018-10-22T05:00:00+0000,5.782,5.883,5.67675,5.7805,368843640.0
2018-10-23T05:00:00+0000,5.51075,5.60475,5.41775,5.5265,626437800.0
2018-10-24T05:00:00+0000,5.48775,5.53475,4.97125,4.98525,884287960.0
2018-10-25T05:00:00+0000,4.88675,5.24375,4.8420375,5.196,951721600.0
2018-10-26T05:00:00+0000,4.95775,5.12105,4.828,4.95725,664785120.0
2018-10-29T05:00:00+0000,5.09975,5.10325,4.40025,4.6405,758017640.0
2018-10-30T05:00:00+0000,4.66375,5.085,4.6405,5.075,807190720.0
2018-10-31T05:00:00+0000,5.24125,5.31475,5.10025,5.27075,745772160.0
2018-11-01T05:00:00+0000,5.3075,5.46225,5.17975,5.45275,566528320.0
2018-11-02T05:00:00+0000,5.44325,5.55,5.25527,5.373,452857600.0
2018-11-05T06:00:00+0000,5.35975,5.38325,5.132,5.29425,379330400.0
2018-11-06T06:00:00+0000,5.28625,5.37125,5.23912,5.2765,299010360.0
2018-11-07T06:00:00+0000,5.34375,5.43525,5.2795,5.34475,483812040.0
2018-11-08T06:00:00+0000,5.285,5.28575,5.09575,5.14975,511352920.0
2018-11-09T06:00:00+0000,5.06,5.233,5.026,5.14175,413241960.0
2018-11-12T06:00:00+0000,5.0495,5.07175,4.7165,4.7385,617117880.0
2018-11-13T06:00:00+0000,4.83725,5.10525,4.8309225,4.98275,644711000.0
2018-11-14T06:00:00+0000,5.1575,5.172,4.820755,4.92975,526578840.0
2018-11-15T06:00:00+0000,4.92375,5.1325,4.8875,5.05975,840708640.0
2018-11-16T06:00:00+0000,4.083,4.2665,4.04025,4.11075,1963519080.0
2018-11-19T06:00:00+0000,4.04475,4.0455,3.61575,3.6175,1697820200.0
2018-11-20T06:00:00+0000,3.3515,3.8565,3.33275,3.727,1692033120.0
2018-11-21T06:00:00+0000,3.8655,3.8825,3.59025,3.61775,1025494000.0
2018-11-23T06:00:00+0000,3.58275,3.73975,3.56973,3.625,411968440.0
2018-11-26T06:00:00+0000,3.74725,3.83675,3.664,3.82625,814832240.0
2018-11-27T06:00:00+0000,3.8,3.92525,3.76375,3.84325,738060240.0
2018-11-28T06:00:00+0000,3.962,4.007,3.828125,4.00175,804525480.0
2018-11-29T06:00:00+0000,4.0,4.0375,3.9035,3.934,549173600.0
2018-11-30T06:00:00+0000,3.94375,4.0964975,3.893,4.08575,729564560.0
2018-12-03T06:00:00+0000,4.315,4.367,4.1835,4.251,890804360.0
2018-12-04T06:00:00+0000,4.206,4.211,3.9125,3.92775,812111480.0
2018-12-06T06:00:00+0000,3.786,3.9623,3.77025,3.95725,692309640.0
2018-12-07T06:00:00+0000,3.9615,3.97175,3.6404,3.69025,681677960.0
2018-12-10T06:00:00+0000,3.645,3.8214975,3.64125,3.7965,629473400.0
2018-12-11T06:00:00+0000,3.889,3.89725,3.625,3.70475,671913280.0
2018-12-12T06:00:00+0000,3.7105,3.8195,3.6205,3.7225,654135920.0
2018-12-13T06:00:00+0000,3.76975,3.8345,3.686,3.72225,471384960.0
2018-12-14T06:00:00+0000,3.68025,3.76475,3.6375,3.66125,471821240.0
2018-12-17T06:00:00+0000,3.631,3.70375,3.531,3.5895,662867320.0
