split,policy,event_count,baseline_event_count,retention_pct,unique_tickers,baseline_unique_tickers,coverage_pct,mean_net_return_pct,median_net_return_pct,positive_return_rate_pct,mean_ticker_event_return_pct,median_ticker_event_return_pct
development,baseline,13948,13948,100,33,33,100,0.04336090135,0.06681677763,51.26899914,0.02672335509,0.02541040035
development,market_rs,6163,13948,44.18554631,33,33,100,0.03762154296,0.07692683403,51.67937693,0.00486990863,-0.03047347611
development,market_sector_rs,5158,13948,36.98021222,33,33,100,-0.005293368829,0.03384661926,50.56223342,-0.06134435087,-0.1246180448
holdout,baseline,8468,8468,100,33,33,100,-0.01380931524,0.02719357028,50.63769485,-0.07865294833,-0.05084389766
holdout,market_rs,3774,8468,44.5677846,33,33,100,-0.03397238481,0.01373266545,50.34446211,-0.1608391164,-0.07766829829
holdout,market_sector_rs,2783,8468,32.86490316,33,33,100,-0.02488385428,0.004475114359,50.08983112,-0.1631317432,-0.05823756543
validation,baseline,7142,7142,100,33,33,100,0.05157438081,0.08957989543,51.5541865,0.03379207397,-0.06139223657
validation,market_rs,2163,7142,30.28563428,33,33,100,0.1232046012,0.05291921751,51.27138234,0.04701915955,0.05789089584
validation,market_sector_rs,1519,7142,21.26855223,33,33,100,0.130417949,-0.0006458003602,49.96708361,-0.040243534,0.02894322545
