datetime,open,high,close,volume,low
2007-01-03 00:00:00+00:00,17.606405046421575,17.93981141892538,17.77952003479004,64226000,17.52305406475873
2007-01-04 00:00:00+00:00,17.747467282175023,18.266811171694552,18.247575759887695,73012100,17.657704472929478
2007-01-05 00:00:00+00:00,18.234740738998994,18.31809168655006,18.25397491455078,62647800,17.98468545049439
2007-01-08 00:00:00+00:00,18.298869318044904,18.427101721857614,18.3565731048584,47936500,18.15781208404648
2007-01-09 00:00:00+00:00,18.414266233086117,18.43350163156361,18.25397491455078,50488300,18.151388568522222
2007-01-10 00:00:00+00:00,18.125753990819163,18.4206896153732,18.38863182067871,50632400,18.087283169674002
2007-01-11 00:00:00+00:00,18.446329883339857,18.587385838976804,18.395036697387695,54602200,18.34374351143553
2007-01-12 00:00:00+00:00,18.298868572956003,18.574568780244356,18.542510986328125,54588000,18.24116356556563
2007-01-16 00:00:00+00:00,18.330921553301582,18.330921553301582,17.978281021118164,75551500,17.952633814378796
2007-01-17 00:00:00+00:00,17.862875287503307,17.95263808659985,17.298648834228516,108858000,17.240943828258903
2007-01-18 00:00:00+00:00,17.394819485366035,17.40764308887454,16.95882797241211,80498300,16.84341798668784
2007-01-19 00:00:00+00:00,16.95883015579885,17.215296144357307,17.119121551513672,62266800,16.939594748059605
2007-01-22 00:00:00+00:00,17.151178278427025,17.183236066412473,17.010122299194336,69421400,16.76647870797052
2007-01-23 00:00:00+00:00,16.90753411225653,17.131941050144672,16.69594955444336,67695900,16.689537752942826
2007-01-24 00:00:00+00:00,16.81777095715668,17.27941090492566,17.24094009399414,63817000,16.792124972795154
2007-01-25 00:00:00+00:00,17.266593435230156,17.279417043429575,16.811365127563477,55317400,16.772895525891805
2007-01-26 00:00:00+00:00,16.772890651481738,17.0165342447585,16.894712448120117,64449600,16.516424676658485
2007-01-29 00:00:00+00:00,16.85623365992132,16.97164236842364,16.80493927001953,51536100,16.67029516530404
2007-01-30 00:00:00+00:00,16.85624413471669,16.88830192540107,16.830596923828125,45030400,16.689540932719996
2007-01-31 00:00:00+00:00,16.792123970133236,17.18964587594689,17.067825317382812,60517900,16.702359972912348
2007-02-01 00:00:00+00:00,17.099886720559994,17.305059518327315,17.048593521118164,55597200,16.901125725588695
2007-02-02 00:00:00+00:00,17.253763990121527,17.426878973469517,17.40123176574707,59427500,17.055003021977264
2007-02-05 00:00:00+00:00,17.5807570770391,17.741048443086893,17.63846206665039,61115800,17.458935296423476
2007-02-06 00:00:00+00:00,17.79234857466595,17.81158398635158,17.49100112915039,105179400,17.388414712680134
2007-02-07 00:00:00+00:00,18.350152076222443,18.497619806961026,18.010334014892578,128470500,18.003922214913622
2007-02-08 00:00:00+00:00,17.888522647394506,18.17704769933898,18.042402267456055,55285200,17.8244058333039
2007-02-09 00:00:00+00:00,17.991108981493955,18.04881399162858,17.766700744628906,50559800,17.619232928918862
2007-02-12 00:00:00+00:00,17.708988953542015,17.792339917772086,17.657695770263672,39247500,17.580755383883186
2007-02-13 00:00:00+00:00,17.734637112951372,17.779518500969203,17.426877975463867,59367700,17.317879794737948
2007-02-14 00:00:00+00:00,17.478165309256358,17.72821937182245,17.60639762878418,48659900,17.407636738614357
2007-02-15 00:00:00+00:00,17.68976000651391,17.83081600627163,17.67052459716797,36506000,17.59999720875231
2007-02-16 00:00:00+00:00,17.619229270733694,17.66411066420292,17.64487648010254,34920100,17.54229008847966
2007-02-20 00:00:00+00:00,17.67052331787508,17.952636519892764,17.73464012145996,40816100,17.490997735348994
2007-02-21 00:00:00+00:00,17.51663753730374,17.702576079746002,17.55510711669922,35555600,17.50381393652995
2007-02-22 00:00:00+00:00,17.644878263910723,17.702583267898056,17.56793785095215,40347700,17.452527842977478
2007-02-23 00:00:00+00:00,17.53587569021389,17.741048443086893,17.63846206665039,40647000,17.53587569021389
2007-02-26 00:00:00+00:00,17.721817104666293,17.76028792185055,17.465351104736328,37742200,17.324295110506437
2007-02-27 00:00:00+00:00,17.151176228040267,17.279409810504458,16.484363555908203,78613400,16.311249809385448
2007-02-28 00:00:00+00:00,16.542071922282062,16.830596930257,16.6318359375,63725500,16.510014131585436
2007-03-01 00:00:00+00:00,16.28560038022828,16.830591196903676,16.574125289916992,70349100,16.074015854098526
2007-03-02 00:00:00+00:00,16.471546301305413,16.651071905105354,16.22149085998535,68604200,16.125316254674463
2007-03-05 00:00:00+00:00,16.041958090303208,16.510008523885908,16.32406997680664,60022300,15.913724525219166
2007-03-06 00:00:00+00:00,16.535660165230723,16.715185737032662,16.644657135009766,51801300,16.47795516774403
2007-03-07 00:00:00+00:00,16.61259437324387,16.747239734712462,16.58694839477539,65487300,16.40100985344397
2007-03-08 00:00:00+00:00,16.779305005959408,16.94600822068272,16.766481399536133,43868500,16.715188196769454
2007-03-09 00:00:00+00:00,16.93959405864292,16.984475451948256,16.72159767150879,39302700,16.63183488489812
2007-03-12 00:00:00+00:00,16.65747511886446,16.830590052910885,16.779296875,29173700,16.599770140848985
2007-03-13 00:00:00+00:00,16.670304691090305,16.817772477547646,16.349721908569336,58047500,16.330486501364625
2007-03-14 00:00:00+00:00,16.34971716270643,16.593359468612302,16.574125289916992,53373200,16.195837618514417
2007-03-15 00:00:00+00:00,16.477951715877886,16.62541946837342,16.548479080200195,38348800,16.426658531404396
2007-03-16 00:00:00+00:00,16.53566226048845,16.715187855038337,16.663894653320312,49897100,16.49719144200514
2007-03-19 00:00:00+00:00,16.792126352316966,16.90753634874048,16.862653732299805,37540300,16.67030455354479
2007-03-20 00:00:00+00:00,16.881888140047472,16.978062723732066,16.8882999420166,43996700,16.734420363536014
2007-03-21 00:00:00+00:00,16.926772948816016,17.176828384399414,17.176828384399414,44297700,16.70877652955173
2007-03-22 00:00:00+00:00,17.157591653733743,17.176827062044378,16.90753746032715,37075400,16.901125657556936
2007-03-23 00:00:00+00:00,16.958826961450185,17.042177933434413,16.792123794555664,31198200,16.792123794555664
2007-03-26 00:00:00+00:00,16.81777134328235,16.89471174398573,16.8882999420166,44659700,16.54848177520977
2007-03-27 00:00:00+00:00,16.766481340122034,16.824186345895864,16.625425338745117,39229400,16.574132136160202
2007-03-28 00:00:00+00:00,16.535656032870556,17.311465569537997,16.477951049804688,42165000,16.394598864075796
2007-03-29 00:00:00+00:00,16.619013003886828,16.651070795879413,16.304841995239258,56818400,16.13172698345599
2007-03-30 00:00:00+00:00,16.30483311813331,16.445889038200242,16.36894989013672,38922900,16.09966042606297
2007-04-02 00:00:00+00:00,16.458723321536883,16.497192920541583,16.285608291625977,33519000,16.227903281655674
2007-04-03 00:00:00+00:00,16.37536436486805,16.71518123302819,16.574125289916992,45485100,16.311247582389903
2007-04-04 00:00:00+00:00,16.638251879470666,16.81136570439637,16.734426498413086,39936300,16.593369249232683
2007-04-05 00:00:00+00:00,16.683128579534344,16.779303171340512,16.70877456665039,29372100,16.606188172333642
2007-04-09 00:00:00+00:00,16.74724501198185,16.894712797690715,16.798538208007812,28169500,16.74083320961282
2007-04-10 00:00:00+00:00,16.734423264279993,16.785716465998018,16.663894653320312,38575000,16.529250457407898
2007-04-11 00:00:00+00:00,16.651064718146085,16.76006288323285,16.535655975341797,42709700,16.439480188615995
2007-04-12 00:00:00+00:00,16.5292471682544,16.715184528885178,16.65106773376465,28071900,16.43307136411053
2007-04-13 00:00:00+00:00,16.6190087366469,17.279409599290783,17.106294631958008,83160800,16.439481967976683
2007-04-16 00:00:00+00:00,17.09988310165208,17.26658627028964,17.067825317382812,51863700,16.978061320161924
2007-04-17 00:00:00+00:00,17.106296896395673,17.38841007795745,17.20888328552246,59262500,17.029356493087473
2007-04-18 00:00:00+00:00,17.093469709945364,17.30505424604585,17.22811508178711,32158000,16.990883342316398
2007-04-19 00:00:00+00:00,17.048589642847084,17.151176018394047,17.106294631958008,29165200,16.971649249723832
2007-04-20 00:00:00+00:00,17.3435328498209,17.375591870709933,17.305063247680664,42547500,17.151183616193112
2007-04-23 00:00:00+00:00,17.253763675817158,17.27299908125859,17.042179107666016,38480700,16.990885916081684
2007-04-24 00:00:00+00:00,17.087060198662893,17.093472000364592,16.881887435913086,53272500,16.70877245874564
2007-04-25 00:00:00+00:00,17.010120692955006,17.228117054864427,17.170412063598633,45166800,16.811358512850113
2007-04-26 00:00:00+00:00,17.196064255044785,17.414060695654538,17.02294921875,50933500,17.0165386377849
2007-04-27 00:00:00+00:00,16.997295514462593,17.34352420704218,17.33070182800293,45157900,16.98447191249735
2007-04-30 00:00:00+00:00,17.31146903579246,17.439702628931762,17.144765853881836,50368000,17.144765853881836
2007-05-01 00:00:00+00:00,17.228125824616114,17.330712256214223,17.22171401977539,46221200,17.029363543333886
2007-05-02 00:00:00+00:00,17.330697708870737,17.79233626356401,17.741043090820312,57237400,17.324285909412062
2007-05-03 00:00:00+00:00,17.798757833469228,17.91416784122712,17.76028823852539,37016600,17.6705242197546
2007-05-04 00:00:00+00:00,17.91416338266333,17.952632968032674,17.894927978515625,45872300,17.824399386233438
2007-05-07 00:00:00+00:00,17.92698703594176,17.93339883777979,17.830812454223633,46411700,17.798754667959642
2007-05-08 00:00:00+00:00,17.81158229805947,18.260397521843718,18.18345832824707,98226500,17.721818274961475
2007-05-09 00:00:00+00:00,17.324297665771706,17.369179069513486,16.997303009033203,151576700,16.952421605291423
2007-05-10 00:00:00+00:00,16.90753632934918,17.164002308370478,16.856243133544922,59524200,16.83700772652098
2007-05-11 00:00:00+00:00,16.952413463689037,17.08705761024989,17.074234008789062,39094200,16.89470848004126
2007-05-14 00:00:00+00:00,17.06782771910327,17.08706190320096,16.856243133544922,50552200,16.747244939595088
2007-05-15 00:00:00+00:00,16.901121554694942,16.984472524621015,16.753652572631836,43053100,16.721594789489355
