family,provider,symbol,as_of_date,endpoint_pattern,http_status,error_classification,retry_count,request_timestamp_utc
security_identity_lifecycle_and_exclusion_classification,massive,,,/v3/reference/tickers/types,200,none,0,2026-08-16T22:14:17.147590Z
security_identity_lifecycle_and_exclusion_classification,massive,AAPL,2016-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:14:29.245898Z
security_identity_lifecycle_and_exclusion_classification,massive,AAPL,2018-06-29,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:14:41.344995Z
security_identity_lifecycle_and_exclusion_classification,massive,AAPL,2020-08-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:14:53.447273Z
security_identity_lifecycle_and_exclusion_classification,massive,AAPL,2020-12-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:15:05.546580Z
security_identity_lifecycle_and_exclusion_classification,massive,GOOGL,2016-03-31,/v3/reference/tickers/{ticker},404,response,0,2026-08-16T22:15:17.648285Z
security_identity_lifecycle_and_exclusion_classification,massive,GOOGL,2018-06-29,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:15:29.747817Z
security_identity_lifecycle_and_exclusion_classification,massive,GOOGL,2020-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:15:41.847284Z
security_identity_lifecycle_and_exclusion_classification,massive,GOOGL,2020-12-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:15:53.947024Z
security_identity_lifecycle_and_exclusion_classification,massive,FDX,2016-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:16:06.046080Z
security_identity_lifecycle_and_exclusion_classification,massive,FDX,2018-06-29,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:16:18.148533Z
security_identity_lifecycle_and_exclusion_classification,massive,FDX,2020-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:16:30.249389Z
security_identity_lifecycle_and_exclusion_classification,massive,FDX,2020-12-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:16:42.347274Z
security_identity_lifecycle_and_exclusion_classification,massive,FB,2016-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:16:54.448952Z
security_identity_lifecycle_and_exclusion_classification,massive,FB,2018-06-29,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:17:06.547944Z
security_identity_lifecycle_and_exclusion_classification,massive,FB,2020-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:17:18.645766Z
security_identity_lifecycle_and_exclusion_classification,massive,FB,2020-12-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:17:30.747203Z
security_identity_lifecycle_and_exclusion_classification,massive,PYPL,2016-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:17:42.848440Z
security_identity_lifecycle_and_exclusion_classification,massive,PYPL,2018-06-29,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:17:54.948884Z
security_identity_lifecycle_and_exclusion_classification,massive,PYPL,2020-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:18:07.047228Z
security_identity_lifecycle_and_exclusion_classification,massive,PYPL,2020-12-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:18:19.147629Z
security_identity_lifecycle_and_exclusion_classification,massive,YHOO,2016-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:18:31.249251Z
security_identity_lifecycle_and_exclusion_classification,massive,YHOO,2017-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:18:43.349190Z
security_identity_lifecycle_and_exclusion_classification,massive,YHOO,2018-03-31,/v3/reference/tickers/{ticker},404,response,0,2026-08-16T22:18:55.447844Z
security_identity_lifecycle_and_exclusion_classification,massive,SPY,2016-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:19:07.548512Z
security_identity_lifecycle_and_exclusion_classification,massive,SPY,2018-06-29,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:19:19.649752Z
security_identity_lifecycle_and_exclusion_classification,massive,SPY,2020-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:19:31.748929Z
security_identity_lifecycle_and_exclusion_classification,massive,SPY,2020-12-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:19:43.849180Z
security_identity_lifecycle_and_exclusion_classification,massive,PFF,2016-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:19:55.947946Z
security_identity_lifecycle_and_exclusion_classification,massive,PFF,2020-12-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:20:08.051633Z
security_identity_lifecycle_and_exclusion_classification,massive,IGR,2016-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:20:20.151612Z
security_identity_lifecycle_and_exclusion_classification,massive,IGR,2020-12-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:20:32.248858Z
security_identity_lifecycle_and_exclusion_classification,massive,IPOD,2020-09-30,/v3/reference/tickers/{ticker},404,response,0,2026-08-16T22:20:44.349210Z
security_identity_lifecycle_and_exclusion_classification,massive,IPOD,2020-12-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:20:56.450451Z
security_identity_lifecycle_and_exclusion_classification,massive,TWX,2016-03-31,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:21:08.551068Z
security_identity_lifecycle_and_exclusion_classification,massive,TWX,2017-12-29,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:21:20.650484Z
security_identity_lifecycle_and_exclusion_classification,massive,TWX,2018-06-14,/v3/reference/tickers/{ticker},200,none,0,2026-08-16T22:21:32.750180Z
