probe_id,symbol,method,repetition,requested_eastern_start,requested_eastern_end,requested_utc_start,requested_utc_end,http_status,safe_error_classification,raw_candle_count,normalized_candle_count,raw_earliest_timestamp,raw_latest_timestamp,requested_range_earliest,requested_range_latest,out_of_range_candles,unique_regular_sessions,expected_eligible_sessions,expected_regular_session_bars,returned_regular_session_bars,primary_session_bars,early_close_session_bars,extended_hours_bars,regular_session_coverage_pct,missing_regular_session_bars,duplicate_timestamps,duplicate_bar_rate_pct,zero_volume_bars,zero_volume_rate_pct,invalid_ohlc_rows,non_five_minute_intervals,candle_payload_sha256,requested_range_normalized_sha256,date_bound_classification,timestamp_semantics_classification,threshold_result,retry_after_seconds,notes,page_count,next_page_token_present,pagination_complete,repeated_page_token,pagination_cycle_detected
window-2022-02-AAPL-iex-rep1,AAPL,iex,1,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,1508,1508,2022-02-01T14:30:00.000000+0000,2022-02-28T20:55:00.000000+0000,2022-02-01T14:30:00.000000+0000,2022-02-28T20:55:00.000000+0000,0,19,19,1482,1482,1482,0,26,100.0,0,0,0.0,0,0.0,0,0,,8bd3f98ac828d4f1783f7c50849e3022211fafeee0536d1e0762c2ca35a3c25c,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2022-02-AAPL-iex-rep2,AAPL,iex,2,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,1508,1508,2022-02-01T14:30:00.000000+0000,2022-02-28T20:55:00.000000+0000,2022-02-01T14:30:00.000000+0000,2022-02-28T20:55:00.000000+0000,0,19,19,1482,1482,1482,0,26,100.0,0,0,0.0,0,0.0,0,0,,8bd3f98ac828d4f1783f7c50849e3022211fafeee0536d1e0762c2ca35a3c25c,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2022-02-JPM-sip-rep1,JPM,sip,1,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,2386,2386,2022-02-01T09:05:00.000000+0000,2022-03-01T00:55:00.000000+0000,2022-02-01T09:05:00.000000+0000,2022-03-01T00:55:00.000000+0000,0,19,19,1482,1482,1482,0,904,100.0,0,0,0.0,0,0.0,0,0,,cc4c285c15c0e1107b95ccae91af758026ea94e9c7de83d862d64b0253d7bc4c,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2022-02-JPM-sip-rep2,JPM,sip,2,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,2386,2386,2022-02-01T09:05:00.000000+0000,2022-03-01T00:55:00.000000+0000,2022-02-01T09:05:00.000000+0000,2022-03-01T00:55:00.000000+0000,0,19,19,1482,1482,1482,0,904,100.0,0,0,0.0,0,0.0,0,0,,cc4c285c15c0e1107b95ccae91af758026ea94e9c7de83d862d64b0253d7bc4c,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2022-02-JPM-iex-rep1,JPM,iex,1,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,1482,1482,2022-02-01T14:30:00.000000+0000,2022-02-28T20:55:00.000000+0000,2022-02-01T14:30:00.000000+0000,2022-02-28T20:55:00.000000+0000,0,19,19,1482,1481,1481,0,1,99.93252361673414,1,0,0.0,0,0.0,0,0,,2ac6f27bb72b7c96e5e630b0fb2f6f7f5976b9f5173f7044074f1b1a032c6386,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2022-02-JPM-iex-rep2,JPM,iex,2,2022-02-01T00:00:00.000000-0500,2022-02-28T23:59:59.999999-0500,2022-02-01T05:00:00.000000+0000,2022-03-01T04:59:59.999999+0000,200,none,1482,1482,2022-02-01T14:30:00.000000+0000,2022-02-28T20:55:00.000000+0000,2022-02-01T14:30:00.000000+0000,2022-02-28T20:55:00.000000+0000,0,19,19,1482,1481,1481,0,1,99.93252361673414,1,0,0.0,0,0.0,0,0,,2ac6f27bb72b7c96e5e630b0fb2f6f7f5976b9f5173f7044074f1b1a032c6386,honored_exactly,bar_start,passed,,,1,False,True,False,False
window-2023-08-SPY-sip-rep1,SPY,sip,1,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,4360,4360,2023-08-01T08:00:00.000000+0000,2023-08-31T23:55:00.000000+0000,2023-08-01T08:00:00.000000+0000,2023-08-31T23:55:00.000000+0000,0,23,23,1794,1794,1794,0,2566,100.0,0,0,0.0,0,0.0,0,0,,b85fffbf46ec846b11653142a64257d41af7ebbfb5149f127d2f17cecd5e0009,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2023-08-SPY-sip-rep2,SPY,sip,2,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,4360,4360,2023-08-01T08:00:00.000000+0000,2023-08-31T23:55:00.000000+0000,2023-08-01T08:00:00.000000+0000,2023-08-31T23:55:00.000000+0000,0,23,23,1794,1794,1794,0,2566,100.0,0,0,0.0,0,0.0,0,0,,b85fffbf46ec846b11653142a64257d41af7ebbfb5149f127d2f17cecd5e0009,honored_exactly,inconsistent,passed,,,2,True,True,False,False
window-2023-08-SPY-iex-rep1,SPY,iex,1,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,1873,1873,2023-08-01T13:30:00.000000+0000,2023-08-31T20:10:00.000000+0000,2023-08-01T13:30:00.000000+0000,2023-08-31T20:10:00.000000+0000,0,23,23,1794,1794,1794,0,79,100.0,0,0,0.0,0,0.0,0,0,,5add82af197f176c7b95fbb7a9b82bca446a57ac4338b6084565e48d5f093a67,honored_exactly,inconsistent,passed,,,1,False,True,False,False
window-2023-08-SPY-iex-rep2,SPY,iex,2,2023-08-01T00:00:00.000000-0400,2023-08-31T23:59:59.999999-0400,2023-08-01T04:00:00.000000+0000,2023-09-01T03:59:59.999999+0000,200,none,1873,1873,2023-08-01T13:30:00.000000+0000,2023-08-31T20:10:00.000000+0000,2023-08-01T13:30:00.000000+0000,2023-08-31T20:10:00.000000+0000,0,23,23,1794,1794,1794,0,79,100.0,0,0,0.0,0,0.0,0,0,,5add82af197f176c7b95fbb7a9b82bca446a57ac4338b6084565e48d5f093a67,honored_exactly,inconsistent,passed,,,1,False,True,False,False
