datetime,low,open,close,high,volume
2007-01-03 00:00:00+00:00,20.328959953918353,20.506505029047478,20.484312057495117,20.634115918183788,9365079
2007-01-04 00:00:00+00:00,20.32896285189215,20.47321849025694,20.417736053466797,20.484314977614968,6646292
2007-01-05 00:00:00+00:00,20.21799251768813,20.362248126386163,20.2568302154541,20.406634066690128,7977372
2007-01-08 00:00:00+00:00,20.129219872682246,20.26237899986534,20.345603942871094,20.362248670930207,4427415
2007-01-09 00:00:00+00:00,20.201345034153587,20.34560062317189,20.31231117248535,20.423276008107145,5997309
2007-01-10 00:00:00+00:00,20.206899859296897,20.212448102885592,20.378896713256836,20.39554144402292,3614216
2007-01-11 00:00:00+00:00,20.367792901593564,20.38443762637402,20.506500244140625,20.506500244140625,4623513
2007-01-12 00:00:00+00:00,20.428827697634823,20.428827697634823,20.528696060180664,20.550889029635293,8028582
2007-01-16 00:00:00+00:00,20.500950190606762,20.52869139612233,20.58417510986328,20.58417510986328,5315827
2007-01-17 00:00:00+00:00,20.4843101212714,20.556438574709063,20.528696060180664,20.617469240709298,4927693
2007-01-18 00:00:00+00:00,20.43437492968893,20.56753535374236,20.445472717285156,20.58418008107151,5029004
2007-01-19 00:00:00+00:00,20.42882486183183,20.473210794579714,20.506500244140625,20.52314496892108,4202880
2007-01-22 00:00:00+00:00,20.43437299807483,20.52869441340081,20.489856719970703,20.550887381075153,5728582
2007-01-23 00:00:00+00:00,20.38998279609624,20.4232722406419,20.478755950927734,20.517593636231005,7704706
2007-01-24 00:00:00+00:00,20.451016683573354,20.47320964870517,20.689592361450195,20.689592361450195,5148904
2007-01-25 00:00:00+00:00,20.362242925255337,20.695141300633235,20.389984130859375,20.706237782874847,15347739
2007-01-26 00:00:00+00:00,20.27902024618587,20.401082867039083,20.42882537841797,20.48430779575581,9816486
2007-01-29 00:00:00+00:00,20.30121158464313,20.41772594693965,20.32895278930664,20.456563633468566,13643419
2007-01-30 00:00:00+00:00,20.317867196621346,20.340060172246282,20.406639099121094,20.439929865268972,7687718
2007-01-31 00:00:00+00:00,20.34560332886696,20.406633996575213,20.573083877563477,20.623018060233868,15289143
2007-02-01 00:00:00+00:00,20.611916391159227,20.628561114529763,20.70623779296875,20.717334275215777,18404066
2007-02-02 00:00:00+00:00,20.689602926051176,20.711797205225768,20.745086669921875,20.772827890501965,7704460
2007-02-05 00:00:00+00:00,20.656303730759955,20.761721622015457,20.73952865600586,20.77836634652266,5309672
2007-02-06 00:00:00+00:00,20.73397930881973,20.76172051485237,20.83384895324707,20.850493676866655,9894778
2007-02-07 00:00:00+00:00,20.83384844397706,20.850493167189775,20.911523818969727,20.944813265395155,5616561
2007-02-08 00:00:00+00:00,20.733983572630166,20.856044904274906,20.84494972229004,20.86714269167999,6929176
2007-02-09 00:00:00+00:00,20.500953729373748,20.811659192909907,20.623016357421875,20.917075792065525,21979751
2007-02-12 00:00:00+00:00,20.517600149664005,20.65630751534746,20.573083877563477,20.67850048542319,11936268
2007-02-13 00:00:00+00:00,20.584170205204,20.600814924547347,20.722877502441406,20.767263420690334,12937195
2007-02-14 00:00:00+00:00,20.75062399352577,20.761720475918015,20.92262077331543,20.9781044879865,12212751
2007-02-15 00:00:00+00:00,20.889334638789546,20.944817059549234,20.955913543701172,20.98920429886703,12006928
2007-02-16 00:00:00+00:00,20.8671363392442,20.894877542536584,20.950361251831055,20.955908189779823,6764837
2007-02-20 00:00:00+00:00,20.456572774588693,20.917080885912615,21.061336517333984,21.07798255028023,6508666
2007-02-21 00:00:00+00:00,20.928167327183445,20.972553253173828,20.972553253173828,21.028036963371537,5231258
2007-02-22 00:00:00+00:00,20.872683281989268,21.02248707316268,20.889328002929688,21.05577651504352,11642552
2007-02-23 00:00:00+00:00,20.63966093041386,20.900430910757105,20.695144653320312,20.91152739479639,20234563
2007-02-26 00:00:00+00:00,20.4621146563354,20.789463521289214,20.545339584350586,20.817204729724292,21959686
2007-02-27 00:00:00+00:00,19.37465472250267,20.295670937303523,19.58548927307129,20.412185350672388,37054454
2007-02-28 00:00:00+00:00,19.718640721222826,19.812962124323462,19.946121215820312,20.073732066117703,26681186
2007-03-01 00:00:00+00:00,19.53000203177454,19.69645059445142,19.923931121826172,20.001606509810703,32203945
2007-03-02 00:00:00+00:00,19.696449279785156,19.90173552275219,19.696449279785156,19.96831572500497,15158657
2007-03-05 00:00:00+00:00,19.158271134826766,19.513362627731585,19.385751724243164,19.74639015794969,21501508
2007-03-06 00:00:00+00:00,19.541097995650187,19.591032172311152,19.790771484375,19.851802144738404,23815665
2007-03-07 00:00:00+00:00,19.65206431083937,19.77412563265595,19.674257278442383,19.8518023219765,14010257
2007-03-08 00:00:00+00:00,19.796312797440073,20.073727398324795,19.851795196533203,20.073727398324795,24346841
2007-03-09 00:00:00+00:00,19.807420894056165,19.979417734828335,19.90174102783203,20.007160253355067,11761343
2007-03-12 00:00:00+00:00,19.763034948749873,19.835162109872595,19.90174102783203,19.97386949166505,17742649
2007-03-13 00:00:00+00:00,19.197103089410888,19.74083730428583,19.308069229125977,19.763030271686848,55831266
2007-03-14 00:00:00+00:00,18.96407747378992,19.308071107388944,19.35245704650879,19.441230227458593,49895631
2007-03-15 00:00:00+00:00,19.363556933062938,19.37465472250267,19.58548927307129,19.67981071298139,38821062
2007-03-16 00:00:00+00:00,19.378218351214272,19.645657838971275,19.511938095092773,19.673515846405387,23623136
2007-03-19 00:00:00+00:00,19.52307080705005,19.64007568359375,19.64007568359375,19.723650969180408,19648360
2007-03-20 00:00:00+00:00,19.634518073731602,19.651232881118602,19.818382263183594,19.851813186152587,17005896
2007-03-21 00:00:00+00:00,19.801669668033504,19.835100594737387,20.269689559936523,20.38112162163235,41179658
2007-03-22 00:00:00+00:00,20.108089732999176,20.314240129484904,20.147090911865234,20.336526517408366,20898072
2007-03-23 00:00:00+00:00,20.091394918836404,20.113680020724136,20.169397354125977,20.247401097610553,15015984
2007-03-26 00:00:00+00:00,19.924238402234174,20.141533453407472,20.069101333618164,20.225107466785953,20591183
2007-03-27 00:00:00+00:00,19.918669472883224,20.041246017139887,19.9465274810791,20.052389220418238,7700028
2007-03-28 00:00:00+00:00,19.628940264648133,19.835092106959763,19.69580078125,19.935380919570697,21499784
2007-03-29 00:00:00+00:00,19.69022745311117,19.840663285213648,19.79608917236328,19.946523696271214,17217135
